,Influencer_Xhandle,Influencer Affiliation,Political_Follower_Name,Political_Followers_XHandle,Follower Affiliation
379,@NancyAFrench,Republican Party,"George S., Jr. Flinn",@GeorgeFlinn,Republican Party
380,@NancyAFrench,Republican Party,Mark Sanford,@MarkSanford,Republican Party
414,@AnnCoulter,Republican Party,Claire Elisabeth Elliott,@1stGirlPres,Independent
415,@AnnCoulter,Republican Party,Robert McGee,@rmcgeeUShouseSC,Independent
416,@AnnCoulter,Republican Party,"Daniel ""Demand Daniel"" McCarthy",@DemandDanielAZ,Republican Party
417,@AnnCoulter,Republican Party,Gavin S. Clarkson,@DrGavinClarkson,Republican Party
418,@BillOReilly,Republican Party,Claire Elisabeth Elliott,@1stGirlPres,Independent
419,@BillOReilly,Republican Party,Edie Bukewihge,@Vote4Edie_2016,Democratic Party
420,@BillOReilly,Republican Party,Donald Trump,@realDonaldTrump,Republican Party
421,@BillOReilly,Republican Party,Donald J. Trump,@realDonaldTrump,Republican Party
496,@seanhannity,Republican Party,Claire Elisabeth Elliott,@1stGirlPres,Independent
497,@seanhannity,Republican Party,Chris Lewis,@LewisforAL,Republican Party
498,@seanhannity,Republican Party,Arvin Vohra,@VoteVohra,Libertarian Party
499,@seanhannity,Republican Party,Donald Trump,@realDonaldTrump,Republican Party
500,@seanhannity,Republican Party,Donald J. Trump,@realDonaldTrump,Republican Party
501,@seanhannity,Republican Party,David Schuster,@SCHUSTERCAMPAI1,Republican Party
555,@Jaybefaunt,Republican Party,Elijah Manley,@iElijahManley,Democratic Party
556,@Jaybefaunt,Republican Party,Brian Matlock,@KansasBrian,Republican Party
557,@Jaybefaunt,Republican Party,Daniel Behrman,@DanForTexas,Libertarian Party
582,@donwinslow,Republican Party,Michael Puskar,@mbpuskar,Republican Party
583,@donwinslow,Republican Party,Eric Swalwell,@ericswalwell,Democratic Party
584,@donwinslow,Republican Party,Joe Walsh,@WalshFreedom,Independent
598,@mmpadellan,Democratic Party,Michael Puskar,@mbpuskar,Republican Party
599,@mmpadellan,Democratic Party,Frederic Schultz,@FredericEsq,Democratic Party
600,@mmpadellan,Democratic Party,Bennie J. Smith,@BennieJSmith1,Democratic Party
601,@mmpadellan,Democratic Party,Jimmy C. Ausbrooks,@jimmy4ky,Democratic Party
666,@fred_guttenberg,Democratic Party,Frederic Schultz,@FredericEsq,Democratic Party
667,@fred_guttenberg,Democratic Party,Amy McGrath,@AmyMcGrathKY,Democratic Party
668,@fred_guttenberg,Democratic Party,Chris Janicek,@CJSenate2020,Democratic Party
669,@fred_guttenberg,Democratic Party,Jaime Harrison,@harrisonjaime,Democratic Party
670,@itsJeffTiedrich,Democratic Party,Frederic Schultz,@FredericEsq,Democratic Party
671,@itsJeffTiedrich,Democratic Party,The Lincoln Project,@ProjectLincoln,Republican Party
672,@itsJeffTiedrich,Democratic Party,Bennie J. Smith,@BennieJSmith1,Democratic Party
673,@itsJeffTiedrich,Democratic Party,Jimmy C. Ausbrooks,@jimmy4ky,Democratic Party
680,@KyleClark,Democratic Party,John Hickenlooper,@Hickenlooper,Democratic Party
681,@KyleClark,Democratic Party,Andrew Romanoff,@AndrewRomanoff,Democratic Party
682,@KyleClark,Democratic Party,Michael Bennet,@MichaelBennet,Democratic Party
713,@BobMurphyEcon,Republican Party,Dwayne Stovall,@DwayneStovall,Republican Party
714,@BobMurphyEcon,Republican Party,Justin Amash,@justinamash,Republican Party
715,@BobMurphyEcon,Republican Party,Jacob Hornberger,@JacobforLiberty,Libertarian Party
719,@FreemansMind96,Republican Party,Dwayne Stovall,@DwayneStovall,Republican Party
720,@FreemansMind96,Republican Party,Keenan Dunham,@Kdunham4peace,Libertarian Party
721,@FreemansMind96,Republican Party,Justin Amash,@justinamash,Republican Party
722,@FreemansMind96,Republican Party,Ibrahim A. Taher,@Ibra_Taher,Republican Party
723,@FreemansMind96,Republican Party,Jacob Hornberger,@JacobforLiberty,Libertarian Party
724,@FreemansMind96,Republican Party,John Monds,@ElectMonds,Libertarian Party
728,@ThomasEWoods,Republican Party,Dwayne Stovall,@DwayneStovall,Republican Party
729,@ThomasEWoods,Republican Party,Justin Amash,@justinamash,Republican Party
730,@ThomasEWoods,Republican Party,Jacob Hornberger,@JacobforLiberty,Libertarian Party
764,@WarOnDumb,Democratic Party,Phyllis Harvey-Hall,@PhyllisDHHall,Democratic Party
765,@WarOnDumb,Democratic Party,Kiani Gardner,@KianiGardner,Democratic Party
766,@WarOnDumb,Democratic Party,Doug Jones,@DougJonesHQ,Democratic Party
767,@WarOnDumb,Democratic Party,Kaynen Pellegrino,@RCVAlabama,Independent
768,@bshelburne,Other,Phyllis Harvey-Hall,@PhyllisDHHall,Democratic Party
769,@bshelburne,Other,Doug Jones,@DougJonesHQ,Democratic Party
770,@bshelburne,Other,Kaynen Pellegrino,@RCVAlabama,Independent
839,@PatrickSvitek,Democratic Party,Cristina Tzintzun Ramirez,@cristinanextgen,Democratic Party
840,@PatrickSvitek,Democratic Party,Amanda K. Edwards,@AKEdwardsTX,Democratic Party
841,@PatrickSvitek,Democratic Party,Adrian Ocegueda,@TxReason,Democratic Party
857,@evanasmith,Democratic Party,Cristina Tzintzun Ramirez,@cristinanextgen,Democratic Party
858,@evanasmith,Democratic Party,Amanda K. Edwards,@AKEdwardsTX,Democratic Party
859,@evanasmith,Democratic Party,Adrian Ocegueda,@TxReason,Democratic Party
896,@MsLaToshaBrown,Democratic Party,Deval Patrick,@DevalPatrick,Democratic Party
897,@MsLaToshaBrown,Democratic Party,President Boddie,@boddieforga,Democratic Party
898,@MsLaToshaBrown,Democratic Party,Adia Winfrey,@drdia,Democratic Party
903,@TomFitton,Republican Party,Gerard Beloin,@GerardBeloin,Republican Party
904,@TomFitton,Republican Party,C. Wesley Morgan,@cwesleymorgan,Republican Party
905,@TomFitton,Republican Party,David Schuster,@SCHUSTERCAMPAI1,Republican Party
906,@charliekirk11,Republican Party,Gerard Beloin,@GerardBeloin,Republican Party
907,@charliekirk11,Republican Party,Gavin S. Clarkson,@DrGavinClarkson,Republican Party
908,@charliekirk11,Republican Party,Turning Point USA,@TPUSA,Republican Party
909,@charliekirk11,Republican Party,C. Wesley Morgan,@cwesleymorgan,Republican Party
913,@KyleKulinski,Democratic Party,Eric Rothmuller,@EricRothmuller,Democratic Party
914,@KyleKulinski,Democratic Party,Sedinam Moyowasifza-Curry,@skcmcurry,Green Party
915,@KyleKulinski,Democratic Party,Marianne Williamson,@marwilliamson,Democratic Party
916,@KyleKulinski,Democratic Party,Brian Matlock,@KansasBrian,Republican Party
917,@KyleKulinski,Democratic Party,Justice Democrats,@justicedems,Democratic Party
918,@KyleKulinski,Democratic Party,Jensen Bohren,@BohrenJensen,Democratic Party
925,@krystalball,Democratic Party,Eric Rothmuller,@EricRothmuller,Democratic Party
926,@krystalball,Democratic Party,Marianne Williamson,@marwilliamson,Democratic Party
927,@krystalball,Democratic Party,Brian Matlock,@KansasBrian,Republican Party
928,@krystalball,Democratic Party,Justice Democrats,@justicedems,Democratic Party
953,@RealSpikeCohen,Republican Party,Bob Walsh,@bobwalshsf,Libertarian Party
954,@RealSpikeCohen,Republican Party,Keenan Dunham,@Kdunham4peace,Libertarian Party
955,@RealSpikeCohen,Republican Party,Justin Amash,@justinamash,Republican Party
956,@RealSpikeCohen,Republican Party,Jo Jorgensen,@JoForLiberty,Libertarian Party
957,@RealSpikeCohen,Republican Party,Brad Barron,@barron_ky,Libertarian Party
958,@RealSpikeCohen,Republican Party,Kenneth Blevins,@LibertyCowboyKB,Libertarian Party
959,@RealSpikeCohen,Republican Party,John Monds,@ElectMonds,Libertarian Party
960,@RealSpikeCohen,Republican Party,Joe McHugh,@votejoemchugh,Libertarian Party
961,@RealSpikeCohen,Republican Party,Jason Buckley,@JBuckley2020,Libertarian Party
1008,@bluestein,Democratic Party,President Boddie,@boddieforga,Democratic Party
1009,@bluestein,Democratic Party,Ed Tarver,@edtarverga,Democratic Party
1010,@bluestein,Democratic Party,Allen Buckley,@BuckleyForGA,Libertarian Party
1011,@bluestein,Democratic Party,A. Wayne Johnson,@WayneJohnson4GA,Republican Party
1027,@BarbMcQuade,Democratic Party,Ed Tarver,@edtarverga,Democratic Party
1028,@BarbMcQuade,Democratic Party,Amy McGrath,@AmyMcGrathKY,Democratic Party
1029,@BarbMcQuade,Democratic Party,Matthew Matern,@Matern2020,Republican Party
1106,@elonmusk,Republican Party,Robert McGee,@rmcgeeUShouseSC,Independent
1107,@elonmusk,Republican Party,Gene Siadek,@gsiadek,Libertarian Party
1108,@elonmusk,Republican Party,Jason Buckley,@JBuckley2020,Libertarian Party
1109,@elonmusk,Republican Party,Gary Dye,@GaryLyndonDye,Republican Party
1110,@JohnArchibald,Democratic Party,Kiani Gardner,@KianiGardner,Democratic Party
1111,@JohnArchibald,Democratic Party,Doug Jones,@DougJonesHQ,Democratic Party
1112,@JohnArchibald,Democratic Party,Kaynen Pellegrino,@RCVAlabama,Independent
1140,@kylegriffin1,Democratic Party,"Annie ""Mamá"" Garcia",@AnnieMamaGarcia,Democratic Party
1141,@kylegriffin1,Democratic Party,Bennie J. Smith,@BennieJSmith1,Democratic Party
1142,@kylegriffin1,Democratic Party,Jim Vandermaas,@votevandermaas,Democratic Party
1143,@kylegriffin1,Democratic Party,Gidget Groendyk,@GroendykGidget,Republican Party
1175,@HannahDCox,Republican Party,Keenan Dunham,@Kdunham4peace,Libertarian Party
1176,@HannahDCox,Republican Party,Justin Amash,@justinamash,Republican Party
1177,@HannahDCox,Republican Party,Jo Jorgensen,@JoForLiberty,Libertarian Party
1178,@HannahDCox,Republican Party,Jacob Hornberger,@JacobforLiberty,Libertarian Party
1179,@HannahDCox,Republican Party,Kenneth Blevins,@LibertyCowboyKB,Libertarian Party
1180,@HannahDCox,Republican Party,Joe McHugh,@votejoemchugh,Libertarian Party
1254,@brad_polumbo,Republican Party,Justin Amash,@justinamash,Republican Party
1255,@brad_polumbo,Republican Party,Jo Jorgensen,@JoForLiberty,Libertarian Party
1256,@brad_polumbo,Republican Party,Joe McHugh,@votejoemchugh,Libertarian Party
1257,@checkmatestate,Other,Justin Amash,@justinamash,Republican Party
1258,@checkmatestate,Other,Jo Jorgensen,@JoForLiberty,Libertarian Party
1259,@checkmatestate,Other,Jacob Hornberger,@JacobforLiberty,Libertarian Party
1260,@checkmatestate,Other,Max Abramson,@RepAbramson,Republican Party
1261,@checkmatestate,Other,John Monds,@ElectMonds,Libertarian Party
1315,@TheRickWilson,Democratic Party,Eric Swalwell,@ericswalwell,Democratic Party
1316,@TheRickWilson,Democratic Party,Joe Walsh,@WalshFreedom,Independent
1317,@TheRickWilson,Democratic Party,The Lincoln Project,@ProjectLincoln,Republican Party
1318,@TheRickWilson,Democratic Party,Pete Buttigieg,@PeteButtigieg,Democratic Party
1319,@TheRickWilson,Democratic Party,Jim Vandermaas,@votevandermaas,Democratic Party
1328,@marceelias,Democratic Party,Eric Swalwell,@ericswalwell,Democratic Party
1329,@marceelias,Democratic Party,The Lincoln Project,@ProjectLincoln,Republican Party
1330,@marceelias,Democratic Party,Pete Buttigieg,@PeteButtigieg,Democratic Party
1331,@marceelias,Democratic Party,Jaime Harrison,@harrisonjaime,Democratic Party
1335,@natsechobbyist,Democratic Party,Eric Swalwell,@ericswalwell,Democratic Party
1336,@natsechobbyist,Democratic Party,Amy McGrath,@AmyMcGrathKY,Democratic Party
1337,@natsechobbyist,Democratic Party,Joe Walsh,@WalshFreedom,Independent
1357,@LeeCamp,Democratic Party,Sedinam Moyowasifza-Curry,@skcmcurry,Green Party
1358,@LeeCamp,Democratic Party,"James G. ""Jesse Ventura"" Janos",@GovJVentura,Independent
1359,@LeeCamp,Democratic Party,David B. Collins,@dbcgreentx,Green Party
1360,@LeeCamp,Democratic Party,Howie Hawkins,@HowieHawkins,Green Party
1361,@ProudSocialist,Democratic Party,Sedinam Moyowasifza-Curry,@skcmcurry,Green Party
1362,@ProudSocialist,Democratic Party,Marianne Williamson,@marwilliamson,Democratic Party
1363,@ProudSocialist,Democratic Party,David B. Collins,@dbcgreentx,Green Party
1364,@ProudSocialist,Democratic Party,Joseph Kishore,@jkishore,Socialist Equality Party
1365,@ProudSocialist,Democratic Party,Howie Hawkins,@HowieHawkins,Green Party
1366,@ProudSocialist,Democratic Party,Brian Matlock,@KansasBrian,Republican Party
1374,@SocialistMMA,Other,Sedinam Moyowasifza-Curry,@skcmcurry,Green Party
1375,@SocialistMMA,Other,Marianne Williamson,@marwilliamson,Democratic Party
1376,@SocialistMMA,Other,David B. Collins,@dbcgreentx,Green Party
1377,@SocialistMMA,Other,Brian Matlock,@KansasBrian,Republican Party
1378,@briebriejoy,Democratic Party,Sedinam Moyowasifza-Curry,@skcmcurry,Green Party
1379,@briebriejoy,Democratic Party,"James G. ""Jesse Ventura"" Janos",@GovJVentura,Independent
1380,@briebriejoy,Democratic Party,Marianne Williamson,@marwilliamson,Democratic Party
1381,@briebriejoy,Democratic Party,David B. Collins,@dbcgreentx,Green Party
1382,@briebriejoy,Democratic Party,Howie Hawkins,@HowieHawkins,Green Party
1383,@briebriejoy,Democratic Party,Brian Matlock,@KansasBrian,Republican Party
1384,@briebriejoy,Democratic Party,Justice Democrats,@justicedems,Democratic Party
1385,@jimmy_dore,Democratic Party,Sedinam Moyowasifza-Curry,@skcmcurry,Green Party
1386,@jimmy_dore,Democratic Party,Ibrahim A. Taher,@Ibra_Taher,Republican Party
1387,@jimmy_dore,Democratic Party,David B. Collins,@dbcgreentx,Green Party
1400,@SteveSchmidtSES,Democratic Party,Darcy Richardson,@DarcyRichardson,Alliance Party
1401,@SteveSchmidtSES,Democratic Party,Joe Walsh,@WalshFreedom,Independent
1402,@SteveSchmidtSES,Democratic Party,Matthew Matern,@Matern2020,Republican Party
1403,@SteveSchmidtSES,Democratic Party,Jaime Harrison,@harrisonjaime,Democratic Party
1404,@ComicDaveSmith,Republican Party,Ibrahim A. Taher,@Ibra_Taher,Republican Party
1405,@ComicDaveSmith,Republican Party,Max Abramson,@RepAbramson,Republican Party
1406,@ComicDaveSmith,Republican Party,Kenneth Blevins,@LibertyCowboyKB,Libertarian Party
1407,@ComicDaveSmith,Republican Party,John Monds,@ElectMonds,Libertarian Party
1408,@ComicDaveSmith,Republican Party,Joe McHugh,@votejoemchugh,Libertarian Party
1421,@RonFilipkowski,Democratic Party,The Lincoln Project,@ProjectLincoln,Republican Party
1422,@RonFilipkowski,Democratic Party,Jimmy C. Ausbrooks,@jimmy4ky,Democratic Party
1423,@RonFilipkowski,Democratic Party,Jim Vandermaas,@votevandermaas,Democratic Party
1428,@gtconway3d,Republican Party,The Lincoln Project,@ProjectLincoln,Republican Party
1429,@gtconway3d,Republican Party,Matthew Matern,@Matern2020,Republican Party
1430,@gtconway3d,Republican Party,Jim Vandermaas,@votevandermaas,Democratic Party
1431,@gtconway3d,Republican Party,Gidget Groendyk,@GroendykGidget,Republican Party
1432,@robreiner,Democratic Party,The Lincoln Project,@ProjectLincoln,Republican Party
1433,@robreiner,Democratic Party,Jimmy C. Ausbrooks,@jimmy4ky,Democratic Party
1434,@robreiner,Democratic Party,Pete Buttigieg,@PeteButtigieg,Democratic Party
1435,@robreiner,Democratic Party,Jim Vandermaas,@votevandermaas,Democratic Party
1439,@davidhogg111,Democratic Party,Bill de Blasio,@BilldeBlasio,Democratic Party
1440,@davidhogg111,Democratic Party,Elizabeth Warren,@ewarren,Democratic Party
1441,@davidhogg111,Democratic Party,Jensen Bohren,@BohrenJensen,Democratic Party
1449,@JordanChariton,Democratic Party,Marianne Williamson,@marwilliamson,Democratic Party
1450,@JordanChariton,Democratic Party,Howie Hawkins,@HowieHawkins,Green Party
1451,@JordanChariton,Democratic Party,Justice Democrats,@justicedems,Democratic Party
1452,@JordanChariton,Democratic Party,Jessica Scarane,@JessforDelaware,Democratic Party
1461,@davidsirota,Democratic Party,Marianne Williamson,@marwilliamson,Democratic Party
1462,@davidsirota,Democratic Party,Brian Matlock,@KansasBrian,Republican Party
1463,@davidsirota,Democratic Party,Justice Democrats,@justicedems,Democratic Party
1464,@davidsirota,Democratic Party,Jessica Scarane,@JessforDelaware,Democratic Party
1468,@anthonyzenkus,Democratic Party,David B. Collins,@dbcgreentx,Green Party
1469,@anthonyzenkus,Democratic Party,Joseph Kishore,@jkishore,Socialist Equality Party
1470,@anthonyzenkus,Democratic Party,Howie Hawkins,@HowieHawkins,Green Party
1474,@benshapiro,Republican Party,Annette Davis Jackson,@AnnetteDavisJa2,Republican Party
1475,@benshapiro,Republican Party,Gene Siadek,@gsiadek,Libertarian Party
1476,@benshapiro,Republican Party,Mark Stewart Greenstein,@Stewart4Liberty,Democratic Party
1480,@IngrahamAngle,Republican Party,Michael Katz,@drmikekatz,Independent
1481,@IngrahamAngle,Republican Party,Edie Bukewihge,@Vote4Edie_2016,Democratic Party
1482,@IngrahamAngle,Republican Party,Donald Trump,@realDonaldTrump,Republican Party
1483,@IngrahamAngle,Republican Party,Donald J. Trump,@realDonaldTrump,Republican Party
1487,@TuckerCarlson,Republican Party,Gene Siadek,@gsiadek,Libertarian Party
1488,@TuckerCarlson,Republican Party,John Schiess,@JohnSchiess1,Republican Party
1489,@TuckerCarlson,Republican Party,Donald Trump,@realDonaldTrump,Republican Party
1490,@TuckerCarlson,Republican Party,Donald J. Trump,@realDonaldTrump,Republican Party
1491,@TuckerCarlson,Republican Party,Gary Dye,@GaryLyndonDye,Republican Party
