headline,publication_date,people_mentioned,places_mentioned,subjects,organizations,url,abstract,word_count
Bowman Makes Amends With Democratic Socialists After Rift Over Israel,2024-06-10 19:48:48+00:00,"Bowman, Jamaal; Latimer, George S",New York State; Israel,"Israel-Gaza War (2023- ); Primaries and Caucuses; Elections, House of Representatives; United States International Relations; Palestinians; Jews and Judaism","Democratic Socialists of America; Democratic Party; House of Representatives; Boycott, Divestment and Sanctions (BDS); AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE; Hamas",https://www.nytimes.com/2024/06/10/nyregion/jamaal-bowman-dsa-israel.html,"Representative Jamaal Bowman of New York told members of the socialist group that his views on Israel aligned with theirs, and insisted that he never quit the group, despite earlier claims.",1322
Why the Head of One of New York’s Most Elite Schools Quit,2024-06-10 19:59:10+00:00,,New York City,Private and Sectarian Schools; Education (K-12); Appointments and Executive Changes; Israel-Gaza War (2023- ); Anti-Semitism; Discrimination; Muslims and Islam,Collegiate School,https://www.nytimes.com/2024/06/10/nyregion/collegiate-school-head-israel-gaza.html,The leader of Collegiate School in Manhattan stepped down after an internal report found “problems of religious and cultural bias.”,632
Israel’s Military Says 3 Rescued Hostages Were Held in Hamas Member’s Home,2024-06-10 22:01:44+00:00,,Nuseirat (Gaza Strip),Israel-Gaza War (2023- ); News and News Media,AL JAZEERA,https://www.nytimes.com/2024/06/10/world/middleeast/israel-hostages-hamas.html,"The man’s death was confirmed by the Hamas-controlled Gaza media office, which identified him as an employee of the Hamas-affiliated news agency Palestine Now.",797
United Nations Security Council Backs Gaza Cease-Fire Resolution,2024-06-10 22:57:18+00:00,,Israel; Gaza Strip,Israel-Gaza War (2023- ),Security Council (UN); Hamas,https://www.nytimes.com/video/world/middleeast/100000009514538/un-cease-fire-resolution.html,"Fourteen of the 15 members on the U.N. Security Council, with Russia abstaining, voted in favor of adopting a proposal calling for a permanent cease-fire in Gaza. Neither Israel nor Hamas has formally embraced the plan.",0
U.N. Passes Gaza Cease-Fire Resolution as Blinken Presses Israel and Hamas,2024-06-10 23:03:39+00:00,"Blinken, Antony J; Biden, Joseph R Jr; Netanyahu, Benjamin; Gantz, Benny",Israel; Gaza Strip; Jordan; Qatar; Egypt,Israel-Gaza War (2023- ); Peace Process; International Relations; United States International Relations; Kidnapping and Hostages; Palestinians,Hamas; Security Council (UN); United Nations; State Department,https://www.nytimes.com/2024/06/10/world/middleeast/security-council-gaza-ceasefire-blinken.html,"The Security Council endorsed a U.S.-backed plan, while Secretary of State Antony J. Blinken visited the Middle East to lobby for it, but Hamas and Israel were noncommittal.",1022
Israel’s Parliament Revives Bill on Drafting Ultra-Orthodox Men Into Military,2024-06-10 23:43:46+00:00,"Baharav-Miara, Gali",Israel,Israel-Gaza War (2023- ); Orthodox Judaism; Draft and Recruitment (Military),,https://www.nytimes.com/2024/06/10/world/middleeast/israel-haredi-orthodox-draft-bill.html,"The vote was aimed at keeping the divisive issue in the hands of legislators instead of judges, who have repeatedly determined that an exemption should not stand.",520
"After Weeks of Planning, Seconds Made the Difference in Israel’s Hostage Rescue",2024-06-11 01:47:43+00:00,"Argamani, Noa",Israel; Gaza Strip,Rescues; Israel-Gaza War (2023- ); Kidnapping and Hostages; Civilian Casualties; Palestinians,Hamas; Shin Bet,https://www.nytimes.com/2024/06/10/world/middleeast/israel-hostage-rescue-gaza.html,"When a truck carrying three of four rescued hostages broke down and came under fire, Israel says it called in an airstrike. Scores of Palestinians were killed, Gazan officials say.",1369
America Isn’t Leading the World,2024-06-11 05:00:07+00:00,"Biden, Joseph R Jr",Israel; Ukraine; Taiwan; China; Russia; Gaza Strip,United States International Relations; Israel-Gaza War (2023- ); Russian Invasion of Ukraine (2022),,https://www.nytimes.com/2024/06/11/opinion/america-leadership-gaza-ukraine.html,Never has the country looked less like a leader and more like the head of a faction.,1332
"At U.C.L.A., Police Arrest More Than 20 Pro-Palestinian Protesters",2024-06-11 06:39:57+00:00,,,Pro-Palestinian Campus Protests (2023- ); Israel-Gaza War (2023- ),"University of California, Los Angeles; University of California",https://www.nytimes.com/2024/06/11/us/ucla-protest-arrest.html,"Protesters marched through campus, pitched tents and occupied various quads in demonstrations that became confrontational at times.",601
Palestinians in the West Bank Are Living in the Shadow of the War in Gaza,2024-06-11 08:55:03+00:00,,Bethlehem (West Bank); Hebron (West Bank); West Bank,Israel-Gaza War (2023- ); Palestinians; Israeli Settlements,,https://www.nytimes.com/video/world/middleeast/100000009414689/palestinians-west-bank-war.html,"Since the Hamas-led attacks on Oct. 7, Israel has tightened its grip on the occupied West Bank. Two Palestinians describe how they have been impacted – and their worries for the future.",0
