headline,publication_date,people_mentioned,places_mentioned,subjects,organizations,url,abstract,word_count
Friday Briefing,2023-12-22 04:59:19+00:00,,,,,https://www.nytimes.com/2023/12/21/world/prague-shooting-ukraine-aid-gaza.html,A deadly shooting spree in the Czech Republic.,1232
"Saudis Overwhelmingly Oppose Ties With Israel, Poll Finds",2023-12-22 09:54:17+00:00,,Saudi Arabia; Israel; Gaza Strip,War and Armed Conflicts; Polls and Public Opinion,Hamas,https://www.nytimes.com/2023/12/22/world/middleeast/saudi-arabia-poll-israel-gaza-war-hamas.html,The poll’s results reveal hurdles to the Biden administration’s push for Saudi Arabia to establish diplomatic relations with Israel.,616
Hamas Hostages and Families of Captives Sue Red Cross in Israeli Court,2023-12-22 10:19:41+00:00,,Israel; Gaza Strip,Kidnapping and Hostages; War and Armed Conflicts,International Committee of the Red Cross; Hamas,https://www.nytimes.com/2023/12/22/world/middleeast/israel-hamas-hostages-red-cross-lawsuit.html,The lawsuit comes as the Red Cross has come under mounting political pressure from Israelis and their leaders.,734
Biden Supports Israel. Does the Rest of America?,2023-12-22 11:00:03+00:00,"Biden, Joseph R Jr",Israel,Presidential Election of 2024; Palestinians; Israel-Gaza War (2023- ),,https://www.nytimes.com/2023/12/22/podcasts/the-daily/biden-israel-us.html,A new poll reveals what voters think about President Biden’s handling of the war in Gaza.,344
"Israel’s Destructive Bombs, and DeSantis’s Costly Ground Game",2023-12-22 11:00:44+00:00,"DeSantis, Ron",Prague (Czech Republic),Israel-Gaza War (2023- ); Civilian Casualties; Bombs and Explosives; Mass Shootings; Presidential Election of 2024; Ozempic (Drug); Social Media; GLP-1 RAs (Drug),Republican Party,https://www.nytimes.com/2023/12/22/podcasts/israel-gaza-bomb-investigation-prague-shooting.html,Hear the news in five minutes.,156
The Rebirth of Local Journalism,2023-12-22 11:41:51+00:00,,,internal-storyline-no; Journalism Schools; News and News Media,,https://www.nytimes.com/2023/12/22/briefing/local-journalism.html,We highlight some of the best work from news outlets across the U.S.,1760
U.S.-Brokered Talks Seek to Ease Tensions on Israel-Lebanon Border,2023-12-22 15:01:53+00:00,,Lebanon; Israel,Israel-Gaza War (2023- ); United States International Relations; Territorial Disputes; International Relations,Hezbollah,https://www.nytimes.com/2023/12/22/world/middleeast/israel-hamas-lebanon-hezbollah-talks.html,"The first goal of the secret negotiations is to stop skirmishes between Israel and Hezbollah from escalating into an all-out war, but longer-term solutions are also on the table, officials say.",1527
Israeli-U.S. Citizen Listed as a Hostage Is Now Said to Have Been Killed,2023-12-22 15:44:30+00:00,,Israel; Gaza Strip,Kidnapping and Hostages; Israel-Gaza War (2023- ),,https://www.nytimes.com/2023/12/22/world/middleeast/gadi-haggai-israeli-hostage-death-hamas.html,"Gadi Haggai, 73, was fatally shot in the Oct. 7 attack, a hostage family group says. His wife was also shot and taken captive.",368
"Israel Tells Gazans to Evacuate More Territory, as Offensive Grinds On",2023-12-22 16:14:29+00:00,"Gallant, Yoav; Netanyahu, Benjamin",Gaza Strip; Israel,Israel-Gaza War (2023- ); Defense and Military Forces; Evacuations and Evacuees; Palestinians; Civilian Casualties; Terrorism,Hamas,https://www.nytimes.com/2023/12/22/world/middleeast/israel-gaza-evacuation-offensive.html,"With fighting still raging in several parts of the Gaza Strip, Israeli forces are pushing deeper into central Gaza, and the war shows no sign of nearing an end.",756
It’s Time for the U.S. to Give Israel Some Tough Love,2023-12-22 18:42:11+00:00,"Biden, Joseph R Jr; Netanyahu, Benjamin; Sinwar, Yehya",Israel; Gaza Strip,Israel-Gaza War (2023- ); Defense and Military Forces; Terrorism; Palestinians; Civilian Casualties; Refugees and Displaced Persons; Kidnapping and Hostages; United States International Relations,Hamas,https://www.nytimes.com/2023/12/22/opinion/israel-war-gaza.html,The Biden administration needs to do more than give gentle nudges on the war.,1673
‘Donald Trump Is No Moderate’,2023-12-22 19:03:51+00:00,"Trump, Donald J; Biden, Joseph R Jr",,Israel-Gaza War (2023- ); Politics and Government; Polls and Public Opinion; United States International Relations; Palestinians; Jews and Judaism; Presidential Election of 2024; Poverty; High Net Worth Individuals; Income Inequality,,https://www.nytimes.com/2023/12/22/opinion/letters/trump-no-moderate.html,Readers disagree with a guest essay that argued that he appeals to voters because he is one. Also: Poll on Biden’s Gaza policies; wealthy donors; soaring rents.,1102
