headline,publication_date,people_mentioned,places_mentioned,subjects,organizations,url,abstract,word_count
"Offering a Choice of ‘Revenge’ vs. ‘Decency,’ Biden Strikes a Contrast With Trump",2024-03-08 04:45:37+00:00,"Biden, Joseph R Jr; Trump, Donald J",,"State of the Union Message (US); United States Politics and Government; United States International Relations; United States Economy; Presidential Election of 2024; Israel-Gaza War (2023- ); Russian Invasion of Ukraine (2022); Abortion; Immigration and Emigration; Age, Chronological",,https://www.nytimes.com/2022/03/01/us/politics/biden-sotu.html,The president made it clear in a State of the Union address that he sees the election as an existential struggle between democracy and extremism.,1563
The I.C.C. Arrest Warrants for Russian Officers Will Echo Beyond Russia,2024-03-08 05:00:34+00:00,,Hague (Netherlands); Ukraine; Russia; Israel; Gaza Strip,"internal-sub-only-nl; War Crimes, Genocide and Crimes Against Humanity; Israel-Gaza War (2023- ); Law and Legislation; Courts and the Judiciary; Decisions and Verdicts; Russian Invasion of Ukraine (2022)",International Criminal Court,https://www.nytimes.com/2024/03/08/world/europe/icc-arrest-warrants-russia-war-crimes.html,"The warrants for two commanders over alleged war crimes may set an interesting precedent, legal experts said, including for the conflict in Gaza.",1375
Full Transcript of Biden’s State of the Union Speech,2024-03-08 05:23:31+00:00,"Biden, Joseph R Jr",,United States Politics and Government; State of the Union Message (US),,https://www.nytimes.com/2024/03/08/us/politics/state-of-the-union-transcript-biden.html,"In an address that previewed the issues his campaign will focus on in the November election, President Biden made the case for a second term.",8003
The State of the Union Was Rowdy for Biden’s Election-Year Speech,2024-03-08 05:59:05+00:00,"Biden, Joseph R Jr",,United States Politics and Government; Israel-Gaza War (2023- ); State of the Union Message (US); Presidential Election of 2024,House of Representatives; Democratic Party; Republican Party,https://www.nytimes.com/2024/03/08/us/politics/biden-state-of-the-union-rowdy.html,The president was feisty and confrontational. Republicans jeered from their seats. And Democrats enthusiastically cheered their presidential nominee even as a few aired their grievances about the war in Gaza.,1038
"From Ukraine to Gaza, Biden’s First Battles Are at Home",2024-03-08 06:21:39+00:00,"Biden, Joseph R Jr; Netanyahu, Benjamin; Putin, Vladimir V",Europe; Gaza Strip; Russia; Ukraine,United States Politics and Government; Presidential Election of 2024; United States International Relations; Israel-Gaza War (2023- ); State of the Union Message (US); Russian Invasion of Ukraine (2022),North Atlantic Treaty Organization; Republican Party,https://www.nytimes.com/2024/03/08/us/politics/biden-foreign-policy-challenges.html,"Republican opposition, splits in his own party and tension with allies make Mr. Biden’s vow to restore American power a far more complicated task than it was when he came into office.",1288
When the Oscars Were Held Against the Backdrop of Another Divisive War,2024-03-08 10:02:09+00:00,"Moore, Michael (1954- )",,Academy Awards (Oscars); Movies; Documentary Films and Programs; Iraq War (2003-11); Israel-Gaza War (2023- ); Actors and Actresses,,https://www.nytimes.com/2024/03/08/movies/oscars-iraq-2003.html,"Three days before the 2003 ceremony, the United States invaded Iraq. Despite pleas to delay the awards, the academy went ahead with what became a politics-suffused evening.",1405
The Oscar Contender That Won’t Let Us Look Away,2024-03-08 10:03:17+00:00,"Glazer, Jonathan; Hoss, Rudolf",Gaza Strip; Israel,Movies; Academy Awards (Oscars); Holocaust and the Nazi Era; Israel-Gaza War (2023- ); Civilian Casualties,Auschwitz Concentration Camp,https://www.nytimes.com/2024/03/08/opinion/zone-of-interest-complicity.html,“Zone of Interest” avoids the pitfalls of fictionalizing the Holocaust. It is also unsettlingly relevant to our current moment.,1316
Israel Says Its Forces ‘Fired Precisely’ During Aid Convoy Chaos,2024-03-08 13:59:17+00:00,,Gaza Strip,War and Armed Conflicts; Civilian Casualties; Humanitarian Aid; Israel-Gaza War (2023- ),,https://www.nytimes.com/2024/03/08/world/middleeast/israel-military-gaza-aid-convoy-report.html,"An initial review by the Israeli military of the episode differed from accounts of witnesses and Palestinian officials, who described extensive shooting after thousands massed around aid trucks.",285
Biden Aims to Pump Energy Into Campaign After a Fiery National Address,2024-03-08 16:00:14+00:00,"Biden, Joseph R Jr; Trump, Donald J",,Presidential Election of 2024; United States Politics and Government; State of the Union Message (US),Democratic Party,https://www.nytimes.com/2024/03/08/us/politics/biden-campaign.html,"The president will follow up his State of the Union speech with a campaign swing to several battleground states, and will begin a $30 million advertising push.",1074
"Activists Deface Portrait of Balfour, Who Supported Jewish Homeland",2024-03-08 18:03:33+00:00,"Balfour, Arthur James",Cambridge (England),"Art; Palestinians; Museums; Israel-Gaza War (2023- ); Jews and Judaism; Demonstrations, Protests and Riots; Vandalism",Cambridge University,https://www.nytimes.com/2024/03/08/arts/design/balfour-declaration-portrait-slashed.html,A pro-Palestinian group slashed and spray-painted a century-old portrait of the author of the Balfour Declaration at the University of Cambridge in England.,391
E.U. Will Participate in Maritime Corridor to Aid Gaza,2024-03-08 18:22:39+00:00,,Gaza Strip; United Arab Emirates; Israel,Palestinians; Humanitarian Aid; United States International Relations; Israel-Gaza War (2023- ),European Union,https://www.nytimes.com/video/world/europe/100000009351002/maritime-corridor-gaza.html,"The European Union will join the U.S., the United Arab Emirates and other partner countries in launching a sea corridor to deliver humanitarian aid to Gaza.",0
"Europe and U.S. Plan to Supply Gaza by Sea, but Aid Groups Say It’s Not Enough",2024-03-08 21:00:16+00:00,"Biden, Joseph R Jr",Gaza Strip; Mediterranean Sea; Israel,Israel-Gaza War (2023- ); Palestinians; Humanitarian Aid; Food Aid; Shortages; Civilian Casualties; International Relations; United States Defense and Military Forces; United States International Relations; Ships and Shipping,Hamas,https://www.nytimes.com/2024/03/08/world/middleeast/gaza-aid-by-sea.html,"Relief organizations say cumbersome new strategies cannot substitute for Israel allowing more supply trucks into the Gaza Strip, while an airdrop of aid reportedly went awry and killed five people.",1477
U.N. Human Rights Chief Warns That Israeli Settlements Could Amount to War Crimes,2024-03-08 21:46:11+00:00,,West Bank,Israel-Gaza War (2023- ); Israeli Settlements; Palestinians,United Nations,https://www.nytimes.com/2024/03/08/world/middleeast/israel-settlement-expansion.html,"The comments came in concert with a U.N. report that says new building plans, violence and discrimination have pushed “the West Bank to the brink of catastrophe.”",472
Audio Clip Emerges of Biden Saying He Told Netanyahu a ‘Come-to-Jesus Meeting’ on Gaza Aid Was Near,2024-03-08 22:49:41+00:00,"Biden, Joseph R Jr; Netanyahu, Benjamin; Bennet, Michael Farrand",Gaza Strip,Israel-Gaza War (2023- ); State of the Union Message (US); Palestinians; Foreign Aid; Humanitarian Aid,,https://www.nytimes.com/2024/03/08/world/middleeast/biden-hot-mic-gaza-aid.html,The president was speaking off the cuff to a lawmaker on the House chamber floor after delivering his State of the Union address.,677
Biden Plan to Build Gaza Aid Port Could Deliver 2 Million Meals a Day,2024-03-08 23:20:26+00:00,"Biden, Joseph R Jr",Gaza Strip,Israel-Gaza War (2023- ); United States Defense and Military Forces; Humanitarian Aid,Defense Department,https://www.nytimes.com/2024/03/08/world/middleeast/biden-gaza-aid-port-meals.html,"However, the planned pier and causeway will take at least a month and maybe two to complete, the Pentagon said.",584
"Providing Both Bombs and Food, Biden Puts Himself in the Middle of Gaza’s War",2024-03-09 00:25:52+00:00,"Biden, Joseph R Jr; Netanyahu, Benjamin",Gaza Strip; Israel,United States International Relations; Israel-Gaza War (2023- ); Palestinians; Humanitarian Aid; Civilian Casualties; Refugees and Displaced Persons; Terrorism; Kidnapping and Hostages,Hamas,https://www.nytimes.com/2024/03/08/us/politics/biden-israel-gaza-war.html,The president’s decision to send aid by air and sea represents a shift prompted by the growing humanitarian crisis. But it raised uncomfortable questions about America’s role.,1592
The 10-Year-Old Boy Who Has Become the Face of Starvation in Gaza,2024-03-09 05:02:12+00:00,,Gaza Strip; Israel,Israel-Gaza War (2023- ); Palestinians; Famine; Malnutrition; Children and Childhood; International Relations,,https://www.nytimes.com/2024/03/09/world/middleeast/yazan-kafarneh-gaza-starvation.html,The harrowing image of a skeletal Yazan Kafarneh circulated widely on social media and has served as a graphic warning about the enclave’s dire food situation.,1303
Sweden and Canada to Restart Payments to U.N. Agency for Palestinians,2024-03-09 07:03:59+00:00,,,Israel-Gaza War (2023- ); Palestinians; Humanitarian Aid,Hamas; United Nations Relief and Works Agency,https://www.nytimes.com/2024/03/09/world/middleeast/unrwa-canada-sweden-israel-hamas.html,"The countries were among those that suspended payments to the  agency, known as UNRWA, after Israel accused a dozen of its employees of taking part in Hamas-led terrorist attacks on Oct. 7.",639
I Said the Era of Famines Might Be Ending. I Was Wrong.,2024-03-09 12:00:13+00:00,,Gaza Strip; Sudan; Yemen; Ethiopia; South Sudan; Ukraine,Famine; Humanitarian Aid; Israel-Gaza War (2023- ); Russian Invasion of Ukraine (2022),World Food Program; United Nations,https://www.nytimes.com/2024/03/09/opinion/famine-war-gaza.html,"Many things go into the conditions that create a food crisis: crop failures, high food prices, unemployment. But it’s war that has created the famines unfolding today.",1403
‘People Are Hoping That Israel Nukes Us So We Get Rid of This Pain’,2024-03-09 12:00:29+00:00,,Gaza Strip; Israel,Israel-Gaza War (2023- ); Palestinians; Famine; Refugees and Displaced Persons; Defense and Military Forces; International Relations; Civilian Casualties,,https://www.nytimes.com/2024/03/09/opinion/gaza-israel-war.html,A father’s desperate texts from Gaza offer a window into five months of suffering there.,1206
"As U.S. Rushes to Build Gaza Port, Major Challenges Loom",2024-03-09 19:50:38+00:00,,Gaza Strip; Israel,Israel-Gaza War (2023- ); Palestinians; Famine; Humanitarian Aid; Refugees and Displaced Persons; Civilian Casualties; International Relations; Terrorism; Defense and Military Forces; United States International Relations,European Union; United Nations Relief and Works Agency; Hamas,https://www.nytimes.com/2024/03/09/world/middleeast/us-gaza-aid-port-israel.html,"Famine is stalking Gaza, but the American-led initiative faces daunting obstacles in logistics, security and cost.",933
U.S. Military Enters a New Phase With Gaza Aid Operations,2024-03-10 01:59:49+00:00,"Andres, Jose (1969- )",Israel; Gaza Strip,Israel-Gaza War (2023- ); United States Defense and Military Forces; Humanitarian Aid; Foreign Aid,Army Corps of Engineers; United States Army,https://www.nytimes.com/2024/03/09/us/politics/us-military-gaza-aid.html,"As the United States continues providing Israel with munitions, the Pentagon will deliver food and other assistance to Gazans by sea and air.",1150
"As Israel’s Ties to Arab Countries Fray, a Strained Lifeline Remains",2024-03-10 09:01:20+00:00,"Netanyahu, Benjamin; Barkat, Nir",United Arab Emirates; Israel; Saudi Arabia; United States; Gaza Strip,Israel-Gaza War (2023- ); International Relations; United States International Relations; Arabs; Palestinians,,https://www.nytimes.com/2024/03/10/world/middleeast/uae-israel-gaza-war.html,"The United Arab Emirates has maintained its links to Israel throughout the war in Gaza, but the relationship, built on a U.S.-brokered deal, is under pressure as anger against Israel grows.",1460
U.S. Military Ship Has Set Sail to Help Build Pier Off Gaza for Aid,2024-03-10 11:01:22+00:00,"Andres, Jose (1969- )",Cyprus; Gaza Strip; Norfolk (Va),Israel-Gaza War (2023- ); Ships and Shipping; Humanitarian Aid; Malnutrition; Food Insecurity,United States Army; World Central Kitchen,https://www.nytimes.com/2024/03/10/world/middleeast/us-ship-gaza-aid.html,The pier project is the latest in a flurry of efforts to get more aid into the enclave — including by sea — amid warnings from the U.N. that a famine in Gaza is imminent.,467
"Thousands of pregnant women in Gaza suffer from malnutrition, health authorities say.",2024-03-10 11:08:24+00:00,,Gaza Strip,Israel-Gaza War (2023- ); Palestinians; Famine; Pregnancy and Childbirth; Malnutrition,Hamas,https://www.nytimes.com/2024/03/10/world/middleeast/gaza-malnutrition-hunger-pregnant-women.html,"The U.N. has warned that famine is looming in the enclave, and an obstetrician there said that pregnant women face particularly high risks of malnourishment.",761
"On Oscars Carpet, Red Pins Worn to Call for Cease-Fire in Gaza",2024-03-10 16:46:54+00:00,,Gaza Strip; Israel,"Academy Awards (Oscars); Israel-Gaza War (2023- ); Actors and Actresses; Demonstrations, Protests and Riots; Celebrities; Peace Process",,https://www.nytimes.com/2024/03/10/style/red-pins-gaza-ceasefire-oscars.html,"Billie Eilish, Mark Ruffalo, Ava DuVernay and others wore the bright red circles designed and distributed by Artists4Ceasefire.",787
Some Oscar Attendees Delayed by Protesters Calling for Cease-Fire in Gaza,2024-03-10 21:42:09+00:00,,Los Angeles (Calif),"Demonstrations, Protests and Riots; Israel-Gaza War (2023- ); Academy Awards (Oscars)","Cinerama Dome (Los Angeles, Calif, Movie Theater)",https://www.nytimes.com/2024/03/10/movies/gaza-protest-los-angeles-oscars.html,Demonstrators near the Dolby Theater chanted “Long live Palestine” while marching down Sunset Boulevard.,376
Gaza Begins Ramadan With No Cease-Fire,2024-03-10 22:09:57+00:00,,Israel; Gaza Strip,Israel-Gaza War (2023- ); Palestinians; Ramadan; Peace Process,Hamas,https://www.nytimes.com/2024/03/10/world/middleeast/ramadan-israel-gaza-cease-fire.html,"There were hopes for a last-minute deal, but both sides said they weren’t close to an agreement.",510
Dispute Over Gaza War Heats Up Between Biden and Netanyahu,2024-03-10 23:54:09+00:00,"Biden, Joseph R Jr; Netanyahu, Benjamin",Gaza Strip; Israel,Israel-Gaza War (2023- ); Civilian Casualties; United States International Relations; Palestinians; United States Politics and Government; Refugees and Displaced Persons; Humanitarian Aid,Hamas,https://www.nytimes.com/2024/03/10/world/middleeast/biden-netanyahu-gaza.html,The Israeli prime minister rejected a rebuke from the U.S. president over the scale of the Israel assault.,912
Jonathan Glazer Condemns ‘Occupation’ and Violence in Israel and Gaza,2024-03-11 00:41:06+00:00,"Glazer, Jonathan",Israel; Gaza Strip,World War II (1939-45); Holocaust and the Nazi Era; Israel-Gaza War (2023- ); Academy Awards (Oscars); Movies,,https://www.nytimes.com/2024/03/10/movies/jonathan-glazer-the-zone-of-interest-oscars-speech-israel-gaza.html,"Glazer, the director of “The Zone of Interest,” spoke about the war while accepting the Oscar for best international feature.",324
"Navigating Israeli Restrictions, Many Palestinians Find It Hard to Reach Al Aqsa",2024-03-11 04:01:33+00:00,,East Jerusalem; Jerusalem (Israel); Gaza Strip; Israel,Israel-Gaza War (2023- ); Palestinians; Mosques; Muslims and Islam; Ramadan; Temple Mount (Jerusalem),Al Aqsa Mosque (Jerusalem),https://www.nytimes.com/2024/03/11/world/middleeast/palestinians-al-aqsa-mosque-ramadan.html,Muslim access to the mosque compound has long been a point of contention as Israel has exerted tighter control.,1518
Monday Briefing,2024-03-11 05:23:06+00:00,"Biden, Joseph R Jr; Catherine, Princess of Wales; Netanyahu, Benjamin",Gaza Strip; Haiti,Politics and Government; Israel-Gaza War (2023- ),,https://www.nytimes.com/2024/03/11/briefing/gaza-biden-netanyahu-oscars.html,Biden and Netanyahu clash over Gaza.,1194
A Showcase for Israeli Property Creates Rancor in a Diverse Town,2024-03-11 07:00:19+00:00,,Teaneck (NJ); Israel; Gaza Strip,"Palestinians; Demonstrations, Protests and Riots; Israel-Gaza War (2023- ); Jews and Judaism; Muslim Americans; Anti-Semitism; Orthodox Judaism; Real Estate and Housing (Residential); Israeli Settlements",Keller Williams Realty,https://www.nytimes.com/2024/03/11/nyregion/synagogue-protest-teaneck-nj.html,"A synagogue in Teaneck, N.J., hosted a show promoting real estate in Israel. Pro-Palestinian groups organized angry demonstrations outside.",1131
Highlights From the 2024 Oscars,2024-03-11 08:32:27+00:00,,,Movies; Academy Awards (Oscars); Israel-Gaza War (2023- ),,https://www.nytimes.com/video/movies/100000009354996/oscars-2024-highlights-oppenheimer.html,"The biopic “Oppenheimer” was showered with honors, and the race for best actress culminated in a second Oscar for Emma Stone.",0
Food Shortages Overshadow Ramadan in Gaza,2024-03-11 09:21:36+00:00,,,Ramadan; Israel-Gaza War (2023- ); Food Insecurity,,https://www.nytimes.com/video/world/middleeast/100000009355030/gaza-ramadan-market-rafah.html,The war and hunger have cast a somber tone over this year’s holy month as people struggle to find affordable essentials to celebrate.,0
Best and Worst Moments From the 2024 Oscars,2024-03-11 09:57:55+00:00,,,Academy Awards (Oscars); Movies; Actors and Actresses,,https://www.nytimes.com/2024/03/11/movies/oscars-best-worst.html,"In a fairly even-keeled night, emotions still ran high, whether it was the rush of “I’m Just Ken” or heartfelt words from Rita Moreno to America Ferrera.",2654
"Biden Marks Ramadan, Saying the War Has Inflicted ‘Terrible Suffering’ on Gaza",2024-03-11 11:04:59+00:00,"Biden, Joseph R Jr",Gaza Strip,Israel-Gaza War (2023- ); War and Armed Conflicts; Ramadan; Muslims and Islam,,https://www.nytimes.com/2024/03/11/world/middleeast/biden-ramadan-gaza.html,"The president said he would press for a cease-fire and more aid for Gaza, and noted that many American Muslims were grieving for family members killed there.",338
"Israel Says It Targeted Marwan Issa, a Top Hamas Leader in Gaza",2024-03-11 20:59:06+00:00,,Gaza Strip,Israel-Gaza War (2023- ); War and Armed Conflicts,Hamas,https://www.nytimes.com/2024/03/11/world/middleeast/israel-strike-marwan-issa-hamas.html,"An Israeli military official said investigators were still determining the outcome of a strike on an underground area used by Marwan Issa, the deputy commander of Hamas’s military wing.",314
"Netanyahu’s Coalition ‘May Be in Jeopardy,’ Intelligence Report Says",2024-03-11 23:23:53+00:00,"Biden, Joseph R Jr; Burns, William J; Netanyahu, Benjamin",Gaza Strip; Israel,Israel-Gaza War (2023- ); Politics and Government; Palestinians; Terrorism; United States Politics and Government; United States International Relations; Espionage and Intelligence Services; Kidnapping and Hostages,Central Intelligence Agency; Hamas,https://www.nytimes.com/2024/03/11/us/politics/netanyahu-gaza-intelligence-report.html,The document predicted that Israel would struggle to achieve its goal of destroying Hamas in Gaza.,815
Where Antisemitism and Anti-Zionism Collide,2024-03-12 00:15:17+00:00,,Israel; Gaza Strip,Zionism; Palestinians; Jews and Judaism; Israel-Gaza War (2023- ); Anti-Semitism; Discrimination,,https://www.nytimes.com/2024/03/11/opinion/antisemitism-vs-anti-zionism.html,People spit out the word “Zionist” when they really seem to mean “Jew.”,1151
The Daily Hunt for Food in Gaza,2024-03-12 04:01:01+00:00,,Gaza Strip; Israel,Israel-Gaza War (2023- ); Famine; Palestinians; Food; Shortages; Food Insecurity; Humanitarian Aid; Refugees and Displaced Persons,,https://www.nytimes.com/interactive/2024/03/12/world/middleeast/gaza-hunger.html,Aid is scarce and food prices are high. Three families shared their recent struggles to find something to eat.,0
Gaza Is Showing Us We Need New Tools to Measure Trauma,2024-03-12 09:04:08+00:00,,Gaza Strip; West Bank; Israel,audio-neutral-informative; Palestinians; Post-Traumatic Stress Disorder; Depression (Mental); Israel-Gaza War (2023- ); Psychology and Psychologists,,https://www.nytimes.com/2024/03/12/opinion/gaza-trauma-freedom.html,Diagnoses like PTSD aren’t sufficient.,205
"Senators Urge Biden to Stop Arming Israel, Citing Violation of U.S. Aid Law",2024-03-12 09:04:28+00:00,"Biden, Joseph R Jr; Hirono, Mazie K; Merkley, Jeffrey A (1956- ); Netanyahu, Benjamin; Sanders, Bernard; Smith, Tina F; Welch, Peter; Van Hollen, Christopher Jr",Gaza Strip; Israel,Israel-Gaza War (2023- ); Palestinians; Foreign Aid; United States Politics and Government; Humanitarian Aid; United States International Relations,Democratic Party; Senate,https://www.nytimes.com/2024/03/12/us/politics/democrats-biden-israel-letter.html,An independent and seven Democrats argued in a letter that the administration had run afoul of a part of a law that bars military aid from going to any country that blocks humanitarian aid.,833
"On the Tripwire of a ‘Red Line,’ It’s Often Presidents Who Trip",2024-03-12 09:04:28+00:00,"Biden, Joseph R Jr; Netanyahu, Benjamin; Bush, George W; Obama, Barack",Gaza Strip; Israel; Syria; North Korea; Iran,audio-neutral-informative; audio-neutral-immersive; United States International Relations; United States Politics and Government; Israel-Gaza War (2023- ),,https://www.nytimes.com/2024/03/12/us/politics/biden-red-line-israel.html,"Barack Obama drew one for Syria. George W. Bush drew several, for North Korea and Iran. Now President Biden has drawn one for Israel. The hard part is figuring out what to do when they are crossed.",1109
"Hezbollah Fires More Than 100 Rockets Into Israel, Drawing Retaliation",2024-03-12 11:45:28+00:00,,Lebanon; Iran,Israel-Gaza War (2023- ); War and Armed Conflicts,Hezbollah; Hamas,https://www.nytimes.com/2024/03/12/world/middleeast/hezbollah-rockets-israel-lebanon.html,The barrage by Hezbollah was among the heaviest in the months of cross-border strikes that have fed fears that the war in Gaza could expand.,348
Washington State Will Be Next Test of ‘Uncommitted’ Protest Against Biden,2024-03-12 13:33:22+00:00,"Biden, Joseph R Jr",Washington (State),"Primaries and Caucuses; United States Politics and Government; Israel-Gaza War (2023- ); Demonstrations, Protests and Riots",Democratic Party,https://www.nytimes.com/2024/03/12/us/politics/biden-uncommitted-washington-israel-gaza.html,"The state’s primary election on Tuesday is the latest site of a movement to reject the president over his stance on Israel, though it may be days before the results are fully clear.",406
Who Are Hamas’s Top Leaders in Gaza?,2024-03-12 14:04:44+00:00,"Deif, Muhammad; Sinwar, Yehya",Khan Younis (Gaza Strip),Israel-Gaza War (2023- ); Defense and Military Forces,Hamas,https://www.nytimes.com/2024/03/12/world/middleeast/hamas-leaders-gaza.html,"Israel targeted Marwan Issa, a Hamas military leader, with a strike over the weekend. He is one of three leaders of the group in Gaza who Israel says were the main planners of the Oct. 7 attack.",627
How Education and Experience Can Help Prisoners Achieve Parole,2024-03-12 15:29:46+00:00,"Trump, Donald J",Gaza Strip,"Prisons and Prisoners; Ex-Convicts; Storming of the US Capitol (Jan, 2021); United States Politics and Government; Civilian Casualties; Israel-Gaza War (2023- ); Holocaust and the Nazi Era; Jews and Judaism; Palestinians; Colleges and Universities; Humanities; Probation and Parole",,https://www.nytimes.com/2024/03/12/opinion/older-prisoners-parole.html,Responses to a guest essay about the plight of the older incarcerated. Also: Close call on Jan. 6; the killing of innocents; the purpose of college.,1186
"U.S.-Israeli Citizen Itay Chen Was Killed in Oct. 7 Attack, Parents Say",2024-03-12 16:11:14+00:00,,Israel; Gaza Strip,Israel-Gaza War (2023- ); Kidnapping and Hostages,Hamas,https://www.nytimes.com/2024/03/12/world/middleeast/us-israeli-citizen-itay-chen-killed.html,"Ruby and Hagit Chen said that they expected the Israeli prime minister, Benjamin Netanyahu, and President Biden to do “everything in their power” to bring Itay’s remains and the hostages home.",611
Transcript: Ezra Klein Talks About the State of the Union and Biden’s 2024 Campaign,2024-03-12 17:05:09+00:00,"Biden, Joseph R Jr",,State of the Union Message (US),,https://www.nytimes.com/2024/03/12/podcasts/transript-ezra-klein-sotu-qa.html,"The March 12, 2024, episode of “The Ezra Klein Show.”",11413
Children Evacuated From Gazan Orphanage to West Bank,2024-03-12 17:07:54+00:00,,Rafah (Gaza Strip); Gaza Strip; West Bank; Germany,Israel-Gaza War (2023- ); Humanitarian Aid,,https://www.nytimes.com/2024/03/12/world/middleeast/orphans-gaza-rafah-west-bank.html,"The German Embassy said it had helped a charity, SOS Children’s Villages International, move nearly 70 children from the city of Rafah to get them “out of acute danger.”",344
