Poster,Date,Tweet,No of Likes,No of Retweets,No of Replies,No of Views
GunnelsWarren,"May 02, 2024 10:13 PM","You wanna talk about destruction? Israel has destroyed 84% of Gaza’s healthcare facilities & all of Gaza’s universities. Instead of parroting Netanyahu’s talking points, maybe you could interview just one of the hundreds of thousands of children in Gaza who are facing starvation.",18123,4521,87,368720
ABC,"October 14, 2023 05:26 PM","People have taken to the streets of Tel Aviv in protest of the Israeli government, blaming Israeli Prime Minister Netanyahu for not protecting Israels citizens.  Follow live updates on the Israel-Gaza conflict:",2359,924,163,486463
AnnCoulter,"October 13, 2023 10:11 PM","They are here, chanting “Death to Jews…”  This is on the @UCLA campus.",1466,201,688,193743
SteveSchmidtSES,"October 24, 2023 06:08 PM","""The corruption of one man in Israel has brought the whole world to the brink of war because his corruption and weakness stirred evil, and when evil sees weakness, it strikes.""  More on how corrupt politicians like Netanyahu and Trump threaten the world:",4259,1586,314,228247
SteveSchmidtSES,"October 10, 2023 01:01 PM","""The prime minister, who has prided himself on his vast political experience and irreplaceable wisdom in security matters, completely failed to identify the dangers he was consciously leading Israel into when establishing a government of annexation and dispossession.""  These",13223,4037,810,1048489
SocialistMMA,"July 24, 2024 01:43 PM",Netanyahu is getting peace loving Jewish people arrested for protesting the war crimes he was found guilty committing by the ICC  Another example of how Zionism is the height of antisemitism   Zionism makes Jewish people LESS SAFE,4085,2035,24,80952
gtconway3d,"November 11, 2023 07:34 AM",".@DouglasKMurray to @piersmorgan:  “The thing that struck me, Piers, about seeing the 7th of October footage, was that even the Nazis were actually ashamed of what they did.  SS battalions who spent their days shooting Jews in the back of the head and pushing them into trenches,",5825,2058,752,1651043
gtconway3d,"November 02, 2023 01:06 AM",“There is no moral equivalency here. Lets be clear: Hamas shares no values with any Western academic institution. Hamas is an organization that has repeatedly pledged to annihilate Israel and its people.  “Its ideology is antithetical to the values of human life and the liberal,1819,520,53,299509
gtconway3d,"October 09, 2023 04:48 PM","“The IDF issued rare public statements in recent months, warning that military deterrence was deteriorating. Netanyahu and radical members of his cabinet derided the officials as part of the protest movement, and the protesters as ‘anarchists,’ asserting that the status quo with",2416,623,78,602142
gtconway3d,"October 09, 2023 03:38 PM",Israel amassed troops in the West Bank. Then Hamas attacked from Gaza.,2528,294,106,389445
gtconway3d,"October 10, 2023 07:20 PM","I apologize for using the word “fighters” here. I should have used the word “terrorists.”  We have been reading and listening to too many news reports referring to Hamas members as “fighters” or “militants,” and it’s easy to pick up the bad habit.   But the attackers were not",1819,520,53,299509

"|RUN STATISTICS|
"
"Time Processed: November 19, 2024 11:36 PM
","Number of discards: 288
","List of accounts processed: ['JordanChariton', 'mmpadellan', 'charliekirk11', 'davidsirota', 'blacks4peace', 'kylegriffin1', 'PalmerReport', 'StatusCoup', 'POLITICO', 'TuckerCarlson', 'elonmusk', 'itsJeffTiedrich', 'OccupyDemocrats', 'krystalball', 'GunnelsWarren', 'ABC', 'AnnCoulter', 'SteveSchmidtSES', 'SocialistMMA', 'gtconway3d']
","List of accounts coming in: ['denverpost', 'action_4assange', 'CapitolJournal', 'politicallyga', 'fred_guttenberg', 'AmpedUpPodcast', 'LeeCamp', 'JordanChariton', 'TheDemCoalition', 'DworkinReport', 'WarOnDumb', 'NPR', 'TPUSA', 'mmpadellan', 'charliekirk11', 'robreiner', 'davidsirota', 'blacks4peace', 'people4liberty', 'HouseDemocrats', 'TeamWarnock', 'BadFaithPod', 'kylegriffin1', 'PalmerReport', 'StatusCoup', 'POLITICO', 'marceelias', 'TuckerCarlson', 'DworkinWeekly', 'elonmusk', 'EliasLawGroup', 'JoyAnnReid', '1819News', 'itsJeffTiedrich', 'RacePowerPolicy', 'chkbal', 'wabenews', 'bluestein', 'UALawSchool', 'OccupyDemocrats', 'toddcstacy', 'krystalball', 'SarcasmStardust', 'GunnelsWarren', 'ABC', 'LeverNews', 'AnnCoulter', 'TexasTribune', 'RedState', 'DemocracyDocket', 'SteveSchmidtSES', 'TheWeekendMSNBC', 'SocialistMMA', 'ajamubaraka', 'AJC', 'gtconway3d']
","List of accounts needed to be rerun: ['action_4assange', 'CapitolJournal', 'politicallyga', 'AmpedUpPodcast', 'NPR', 'people4liberty', 'TeamWarnock', 'BadFaithPod', 'EliasLawGroup', 'JoyAnnReid', 'RacePowerPolicy', 'UALawSchool']
","List of accounts with parsed but only irrelevant tweets: ['denverpost', 'fred_guttenberg', 'LeeCamp', 'TheDemCoalition', 'DworkinReport', 'WarOnDumb', 'TPUSA', 'robreiner', 'HouseDemocrats', 'marceelias', 'DworkinWeekly', '1819News', 'chkbal', 'wabenews', 'bluestein', 'toddcstacy', 'SarcasmStardust', 'LeverNews', 'TexasTribune', 'RedState', 'DemocracyDocket', 'TheWeekendMSNBC', 'ajamubaraka', 'AJC']"
