Poster,Date,Tweet,No of Likes,No of Retweets,No of Replies,No of Views
pnjaban,"November 23, 2023 11:00 PM",My prayer tonight started with thanks as five Sikh immigrants who are so thankful for the liberty we enjoy as Americans. We prayed for the hostages in Gaza & women in repressive countries & people suffering everywhere. And prayed for our America to remain strong and free.,5225,572,166,119628
pnjaban,"September 01, 2024 04:04 AM","Hamas did this because Harris/Biden are weak enablers of terror, not its sworn enemy. Remember it when you vote.  A strong America is vital to protecting our citizens all over the world. I’m so sorry we let this family down. It is a national disgrace.",12436,4030,180,217593
pnjaban,"September 01, 2024 03:18 AM",The family of American hostage Hersh Goldberg Polin have confirmed he’s among the bodies that the IDF recovered from Gaza today.  Hersh was severely tortured by the Palestinian terrorists. As a reminder — they blew off his arm and took him to Gaza with the bones sticking out.,32319,3177,2646,386703
thebabylonbee,"April 29, 2024 11:15 PM","Hamas Terrorist Explains Complex, Nuanced Goals In Palestine Conflict",1803,421,67,208095
thebabylonbee,"April 26, 2024 09:00 PM",Palestine Protesters Scatter As Riot Police Charge In With Sticks Of Deodorant,16196,2606,187,808343
thebabylonbee,"May 24, 2024 06:16 PM",Mrs. OLearys Third-Grade Social Studies Class Passes Official Resolution Ordering Israel Out Of Rafah,2352,382,72,135623
thebabylonbee,"June 08, 2024 05:51 PM",Gaza Health Ministry Confirms 8 Billion Dead In Israeli Hostage Rescue,19235,3330,492,609967
thebabylonbee,"February 01, 2024 06:05 PM",Nikki Haley Says We Must Avoid Peace In The Middle East At All Costs,12403,1768,156,341732
thebabylonbee,"May 18, 2024 03:00 PM","Biden Declares Administration Will Never Leave Anyone Behind, Except Those Americans Held Hostage By Hamas, Or Trapped When Afghanistan Fell, Or Killed Accidentally By A Drone, Or Murdered By Illegal Immigrants (Continued)",9803,2503,118,215485
thebabylonbee,"March 21, 2024 05:19 PM",Hamas Scientists Struggling To Figure Out How To Make Emergency Food Rations Explode,3279,474,102,136898
hodgetwins,"November 04, 2023 01:00 AM",1954 Video of President Truman’s Plan to Fix Jews & Palestians Problems That Has Now Backfired!,1510,216,135,149134
hodgetwins,"August 23, 2024 03:15 AM",Kamala pissed off the free Palestine people AND the Jews in less than 30 seconds,8792,816,88,122231
hodgetwins,"April 13, 2024 09:08 PM","Think about this  The Biden administration gave billions of dollars to Iran  They also gave billions of dollars to Israel  American taxpayers are funding both sides of this damn war!  This is crazy y’all, no more of our money should be sent to any foreign country",28884,6284,761,743177

|RUN STATISTICS|
"Time Processed: November 08, 2024 02:29 PM",Number of discards: 90,"List of accounts processed: ['michaelmalice', 'tomilahren', 'monicacrowley', 'glennbeck', 'lpnh', 'coachbrucepearl', 'senkatiebritt', 'laurenboebert', 'repmtg', 'bennyjohnson', 'marklevinshow', 'ksorbs', 'atensnut', 'scottpresler', 'pnjaban', 'thebabylonbee', 'hodgetwins']","List of accounts coming in: ['michaelmalice', 'tomilahren', 'monicacrowley', 'glennbeck', 'lpnh', 'antiwarcom', 'coachbrucepearl', 'senkatiebritt', 'laurenboebert', 'repmtg', 'bennyjohnson', 'marklevinshow', 'ksorbs', 'atensnut', 'scottpresler', 'pnjaban', 'rudygiuliani', 'thebabylonbee', 'hodgetwins']",List of accounts needed to be rerun: [],"List of accounts with parsed but only irrelevant tweets: ['antiwarcom', 'rudygiuliani']"
