Subject_ID,Affiliation,Followers,Tweet_ID,Affiliation_Contrast,After_Dates,After_Corpus,After_Likes,After_Retweets,After_Replies,After_Views
79,Republican Party,4400000,2102,-0.5,"June 19, 2024 11:19 PM",".@WhiteHouse is mad bc @IsraeliPM @netanyahu is telling the truth. Biden Admin has refused to send Congress formal notifications to finalize a host of arms sales to Israel—incl F-15s, JDAM smart bomb kits, munitions—even after SFRC & HFAC informally cleared these sales! (1/3) x.com/BarakRavid/sta…",2918,788,319,50191
52,Democratic Party,437700,2570,0.5,"December 22, 2023 05:56 PM","Remembering again @jaketapper’s article (rushed to publish the night Israel assaulted the hospital) claiming this was a command center. CNN inserted a disclaimer that it couldn’t verify the claim, but Tapper insisted on putting his name to it.  He hasn’t addressed this since. x.com/RollingStone/s…",9225,2856,435,196259
79,Republican Party,4400000,2491,-0.5,"February 23, 2024 11:34 PM",Ambassador David Friedman is absolutely correct. This is a shameful decision.    The Jewish people have a historic and legal right to live in the land of Israel including in Judea and Samaria - the biblical heartland. It is an absolute disgrace the Biden administration would x.com/DavidMFriedma…,8287,2443,341,360142
41,Republican Party,7000000,2916,-0.5,"May 09, 2024 02:04 AM","Ronald Reagan paused the delivery of F-16s to Israel after it bombed an Iranian nuclear reactor in 1981. Then, after Israel invaded Lebanon and bombed Beirut in 1982, Reagan refused to deliver 75 F-16s and limited military aid until Israel withdrew its troops from Lebanon. x.com/MittRomney/sta…",6787,825,590,591295
41,Republican Party,7000000,4601,-0.5,"February 22, 2024 03:35 PM","As a survivor of rape, AIPAC’s tactic of exploiting rape is outright vile and appalling.  Their playbook relies on bullying, lying, harassing, belittling & intimidation to try to manipulate the public & force those calling for a ceasefire into submission. It won’t stop us. x.com/AIPAC/status/1…",2022,295,177,260714
41,Republican Party,7000000,7815,-0.5,"August 20, 2024 05:51 PM","Night #1 of the DNC! Democrats faking tears for Biden – thanking him for his sacrifice after shivving him directly in the spleen – was pretty hilarious. Then there was Biden himself, who said pro-Hamas protesters have a point. If you believe the Kamala campaign is about JOY!!!!, you’re a moron.",2764,624,306,743999
78,Republican Party,570400,4583,-0.5,"April 07, 2024 09:54 PM","I never wanted to entertain the notion that Dave was antisemitic. until this show. About halfway through he just flat out asserts that Jews are bloodthirsty killers who celebrate the killing of innocent civilians.   Im not making that up. Listen to 28:55.  Dave, Im begging x.com/ComicDaveSmith…",4687,336,236,190945
79,Republican Party,4400000,9830,-0.5,"December 11, 2023 03:24 PM","The New York Times is running a pattern of stories attempting to smear Israeli PM Benjamin Netanyahu in an effort to building support for his ouster.  Lets keep an eye on this as the New York Times once a week, carved up Israel and a ""two state solution.""  This is now a growing media campaign.",1240,388,123,70086
20,Democratic Party,418700,8284,0.5,"May 04, 2024 01:38 AM","Can’t argue with people who don’t believe Arabs are humans, and clap like seals when a panelist says Palestinians are constitutionally too violent to live alongside, unlike Danes. Rarely have I been confronted with such open bigotry in my own life. I feel deeply for Palestinians. I’m so sorry.",12031,2529,577,405941
41,Republican Party,7000000,5479,-0.5,"March 11, 2024 05:03 PM","The Oscars had some high points (John Mulaney) and some low points (Jimmy Kimmel). But the true moral blot was Jonathan Glazer, who became the bad guy in his own film, “Zone of Interest”: a villain stripping the bodies of the dead for gold while ignoring the Jews being murdered next door.   …",5083,548,505,645825
52,Democratic Party,437700,1007,0.5,"February 05, 2024 01:41 PM",Guys. The fundamental requirement for Jewish supremacists feelings of self-worth enshrines their right to commit mass murder against -- and conjure racist fantasies about -- the indigenous Palestinian population whose land theyve stolen. Please do the work of respecting @EliLakes self-worth.,1743,425,39,63543
20,Democratic Party,418700,2406,0.5,"June 11, 2024 10:25 PM",“The politicization of rape by the Israeli government was part of the political agenda of this government  I did not think that was sensible. They didn’t mean ‘believe Israeli women’. They meant ‘believe Israel’.”  Executive Director of Israel’s Association of Rape Crisis Centers (ARCCI)  …,3953,1487,322,122503
23,Republican Party,2600000,2262,-0.5,"May 02, 2024 06:51 PM","The filth and litter left behind by the pro terrorists on these college campuses is really something else. No different than the same folks who have been littering their Covid facemasks for the last four years.  I don’t know what goes on in the warped mind of a liberal, but I never want to.",1037,168,91,46326
92,Democratic Party,1500000,2308,0.5,"October 11, 2023 08:13 PM","""If the American media is on the level, and Trump is truly the most important news subject in the world, doesnt he suddenly become more important when an event like this happens?""  I lay out how the news coverage of the attack on Israel shows how Donald Trump has exploited mainstream media:",1395,359,95,208432
87,Republican Party,2700000,1803,-0.5,"October 18, 2023 12:45 AM","UN agency ""aid"" get ""stolen"" by Hamas.  ""U.N. sources told Israel’s Walla News that the aid was stolen, and Israel’s military liaison to the Palestinians reports that 24,000 liters of fuel and medical supplies went to Hamas, whose underground bases use diesel generators."" … via @WSJopinion",1139,599,61,96021
41,Republican Party,7000000,9777,-0.5,"October 12, 2023 04:46 PM","This is collective punishment and a violation of international law.  We cannot starve nearly a million children to death over the horrific actions of Hamas, whose disregard for Israeli, Palestinian, and human life overall could not be more clear.  We must draw a line. x.com/AliVelshi/stat…",15187,3070,2519,1890525
32,Democratic Party,1000000,3299,0.5,"September 21, 2024 04:26 PM","Adelson: Jews have a ""sacred duty"" to vote for Trump.  Let that sink in.  Trump: Jews ""would have a lot to do with the loss"" if Harris wins.  Let that sink in.  This is not normal. Dont let anyone tell you either of these things are OK to say.  @birenbomb was there. x.com/TheNVIndy/stat…",2323,560,149,77636
95,Republican Party,12400000,9576,-0.5,"November 06, 2023 07:13 PM","They hid the Trans Terrorist manifesto from you for months. It wasn’t good for the narrative. It was yet another example of radical violence coming from the trans movement, and therefore they had to hide it while simultaneously going after good God-fearing patriots with reckless abandon.",23833,6133,1888,1062275
41,Republican Party,7000000,3467,-0.5,"June 11, 2024 12:31 AM","An anti-Israel mob surrounded me for nearly an hour, tearing up my notebook, pushing me, calling me names, blowing an air horn in my ear, boxing me in to restrict my movement, but I refused to leave.   I did, however, file a police report. It’s now in NYPD’s hands. x.com/TheFP/status/1…",2460,309,149,316622
