Name,Affiliation,Followers,Date,Likes,Retweets,Replies,Views
kylegriffin1,Democratic Party,1400000,"November 22, 2023 01:25 AM",1983,57,239,92918
kylegriffin1,Democratic Party,1400000,"March 01, 2024 12:25 AM",2739,97,325,158066
kylegriffin1,Democratic Party,1400000,"May 06, 2024 04:50 PM",2603,79,557,186966
kylegriffin1,Democratic Party,1400000,"July 25, 2024 11:30 PM",4119,65,998,202788
kylegriffin1,Democratic Party,1400000,"October 20, 2023 09:15 PM",1826,36,242,112904
TuckerCarlson,Republican Party,14100000,"June 07, 2024 05:03 PM",54702,4107,18332,11713232
itsJeffTiedrich,Democratic Party,1100000,"December 12, 2023 04:51 PM",1547,57,438,78958
itsJeffTiedrich,Democratic Party,1100000,"September 01, 2024 08:08 PM",17257,432,2079,428383
krystalball,Democratic Party,587700,"November 12, 2023 02:26 PM",1753,182,670,147212
krystalball,Democratic Party,587700,"June 09, 2024 12:11 PM",10846,7373,3168,1591146
SteveSchmidtSES,Democratic Party,1500000,"October 24, 2023 06:08 PM",4262,314,1588,228271
gtconway3d,Republican Party,2300000,"November 11, 2023 07:34 AM",5826,752,2057,1651064
gtconway3d,Republican Party,2300000,"January 19, 2024 04:40 PM",1908,50,408,255802
JordanChariton,Democratic Party,128400,"July 18, 2024 12:27 AM",11017,40,3003,544959
JordanChariton,Democratic Party,128400,"April 24, 2024 05:26 PM",1201,22,316,58869
mmpadellan,Democratic Party,1300000,"May 06, 2024 04:55 PM",5852,954,612,251080
mmpadellan,Democratic Party,1300000,"October 09, 2023 04:04 PM",15884,1898,2544,689734
charliekirk11,Republican Party,3600000,"October 07, 2023 03:56 PM",7159,1643,3176,751683
charliekirk11,Republican Party,3600000,"December 05, 2023 02:41 AM",17060,908,5977,2171970
davidsirota,Democratic Party,336700,"November 14, 2023 07:06 PM",1125,42,421,36599
kylegriffin1,Democratic Party,1400000,"March 21, 2024 09:50 AM",1773,55,496,111688
kylegriffin1,Democratic Party,1400000,"May 08, 2024 10:25 PM",3974,123,741,192238
kylegriffin1,Democratic Party,1400000,"April 03, 2024 12:05 AM",2749,141,653,141160
TuckerCarlson,Republican Party,14100000,"January 08, 2024 10:38 PM",111304,7100,24205,8258920
TuckerCarlson,Republican Party,14100000,"October 23, 2023 10:02 PM",14031,597,2094,2369955
TuckerCarlson,Republican Party,14100000,"October 19, 2023 02:42 AM",58791,3490,25467,9274010
itsJeffTiedrich,Democratic Party,1100000,"October 07, 2023 03:51 PM",19943,1082,3345,325181
itsJeffTiedrich,Democratic Party,1100000,"April 13, 2024 09:50 PM",19332,941,3442,240803
itsJeffTiedrich,Democratic Party,1100000,"October 12, 2023 03:49 PM",19262,643,3570,473972
krystalball,Democratic Party,587700,"July 26, 2024 11:10 AM",3408,137,591,114093
krystalball,Democratic Party,587700,"July 26, 2024 04:05 AM",1704,145,520,98755
krystalball,Democratic Party,587700,"November 01, 2023 07:43 PM",8826,537,2242,713310
SteveSchmidtSES,Democratic Party,1500000,"October 10, 2023 01:01 PM",13223,810,4037,1048489
gtconway3d,Republican Party,2300000,"November 02, 2023 01:06 AM",1819,53,520,299509
gtconway3d,Republican Party,2300000,"October 09, 2023 04:48 PM",2416,78,623,602142
gtconway3d,Republican Party,2300000,"October 09, 2023 03:38 PM",2528,106,294,389445
gtconway3d,Republican Party,2300000,"October 10, 2023 07:20 PM",1819,53,520,299509
briebriejoy,Democratic Party,418700,"November 26, 2023 04:41 AM",5390,299,1214,123264
briebriejoy,Democratic Party,418700,"November 30, 2023 01:54 AM",8785,1011,1858,579066
PatTheSocialist,Republican Party,71800,"February 28, 2024 02:42 AM",1958,145,568,47023
PatTheSocialist,Republican Party,71800,"December 03, 2023 12:10 AM",1289,23,281,14418
PatTheSocialist,Republican Party,71800,"November 02, 2023 11:37 PM",2442,39,807,67950
