Name,Affiliation,Followers,Date,Likes,Retweets,Replies,Views
jimmy_dore,Democratic Party,628500,"April 01, 2023 09:57 PM",2648,164,487,146266
davidsirota,Democratic Party,336700,"August 07, 2023 01:30 AM",3652,56,1700,152930
davidsirota,Democratic Party,336700,"August 03, 2023 05:39 PM",1739,39,848,114546
TomFitton,Republican Party,2700000,"January 23, 2023 12:16 AM",2800,120,703,70079
TomFitton,Republican Party,2700000,"August 18, 2023 04:13 AM",1695,390,1328,70589
TomFitton,Republican Party,2700000,"September 11, 2023 09:52 PM",1033,200,573,102007
charliekirk11,Republican Party,3600000,"February 16, 2023 07:53 PM",28988,1603,11093,2414337
charliekirk11,Republican Party,3600000,"February 23, 2023 09:18 PM",36872,6940,11168,2580664
charliekirk11,Republican Party,3600000,"February 16, 2023 10:11 PM",2603,277,975,345307
charliekirk11,Republican Party,3600000,"February 14, 2023 08:09 PM",6550,1034,2376,557556
TuckerCarlson,Republican Party,14100000,"February 21, 2023 02:00 AM",66811,8388,19980,3712596
natsechobbyist,Democratic Party,477600,"October 16, 2022 02:59 PM",3510,166,83,62356
benshapiro,Republican Party,7000000,"July 24, 2023 02:18 PM",5228,827,892,1489217
benshapiro,Republican Party,7000000,"May 10, 2023 02:16 PM",2513,196,382,204799
benshapiro,Republican Party,7000000,"October 20, 2022 08:57 PM",5228,827,892,1489217
briebriejoy,Democratic Party,418700,"August 01, 2023 08:00 PM",1476,300,340,170264
briebriejoy,Democratic Party,418700,"June 15, 2023 05:53 PM",1814,252,549,241760
kylegriffin1,Democratic Party,1400000,"September 18, 2023 01:00 AM",3124,400,1323,850263
kylegriffin1,Democratic Party,1400000,"February 24, 2023 04:00 PM",2579,80,554,342188
itsJeffTiedrich,Democratic Party,1100000,"February 03, 2023 03:11 PM",40744,2622,6364,1112594
itsJeffTiedrich,Democratic Party,1100000,"September 25, 2023 01:24 AM",2460,27,241,26039
SarcasmStardust,Republican Party,127900,"July 28, 2023 06:32 PM",1472,97,296,42959
JoJoFromJerz,Democratic Party,1000000,"October 13, 2022 02:51 AM",3521,69,405,42919
JoJoFromJerz,Democratic Party,1000000,"April 02, 2023 12:46 PM",1717,95,199,64053
JoJoFromJerz,Democratic Party,1000000,"October 16, 2022 08:10 PM",1480,61,131,31402
DineshDSouza,Republican Party,4300000,"February 18, 2023 06:05 AM",2026,142,439,92143
DineshDSouza,Republican Party,4300000,"February 27, 2023 04:08 PM",6464,355,1470,140655
donaldjtrumpjr,Republican Party,12400000,"February 02, 2023 05:53 PM",37656,3968,257,1214971
donaldjtrumpjr,Republican Party,12400000,"July 31, 2023 05:30 PM",1688,384,533,183114
spiritofho,Democratic Party,146800,"August 01, 2023 10:56 AM",1145,195,458,40634
spiritofho,Democratic Party,146800,"January 14, 2023 11:12 PM",1293,22,414,29294
MollyJongFast,Democratic Party,1000000,"December 29, 2022 01:19 AM",3977,435,454,527707
MollyJongFast,Democratic Party,1000000,"March 31, 2023 05:38 PM",6219,218,591,283019
