Date,Trends
19-01-2023,"['Ronaldo', 'Messi', 'New Zealand', '#MoonlightChicken', 'Trossard']"
20-01-2023,"['#JIMINxDIOR', '#SiamParagonCNY2023xAPO', '#JiminAtDiorFashionShow', '#MOONLIGHTSUNRISE', '#MilexDiorWinter2023']"
21-01-2023,"['#BibleBuildxPastel', 'Eagles', 'Liverpool', 'Giants', 'Chiefs']"
22-01-2023,"['Arsenal', 'Lunar New Year', 'Cowboys', 'Bills', 'Happy Lunar New Year']"
23-01-2023,"['JISOO AT DIOR COUTURE SHOW', 'Cowboys', '#LadyJisooxDiorCoutureSS23', '#TheLastOfUs', 'Lakers']"
24-01-2023,"['Oscar', 'Pence', 'Antifa', '#Oscars2023', 'Cowboys']"
25-01-2023,"['#SUGAxValentino', 'Schiff', 'Meta', '#SUGAxValentinoCouture', 'Rashford']"
26-01-2023,"['Pfizer', 'Spotify', 'Vini', 'Kobe', '#DirectedEvolution']"
27-01-2023,"['You People', '#TOMORROW_X_TOGETHER', '#TEMPTATION', 'Memphis', 'Holocaust']"
28-01-2023,"['You People', '#RoyalRumble', '#BeyourluvexBuild', 'Memphis', 'ALWAYS WITH BUILD']"
29-01-2023,"['-', '-', '-', '-', '-']"
30-01-2023,"['Eagles', 'Chiefs', 'Super Bowl', '#TheLastOfUs', 'Mahomes']"
31-01-2023,"['Chelsea', 'Enzo', '#MileApoInHK', '#BenidormFest2023', 'Batman']"
01-02-2023,"['jungkook', 'Beyoncé', 'Tom Brady', 'New Month', 'TAEKOOK']"
02-02-2023,"['jungkook', 'Twitter API', 'Beyoncé', 'Tom Brady', 'Omar']"
03-02-2023,"['China', 'jungkook', 'The Chinese', 'Chelsea', 'Shoot']"
04-02-2023,"['China', 'The Chinese', 'Shoot', 'Kyrie', 'Liverpool']"
05-02-2023,"['#GRAMMYs', 'taylor', 'Beyoncé', 'Harry Styles', 'Kyrie']"
06-02-2023,"['#GRAMMYs', 'Turkey', 'Grammys', 'Beyoncé', 'taylor']"
07-02-2023,"['Biden', 'Hogwarts Legacy', '#SOTU', 'Lebron', 'State of the Union']"
08-02-2023,"['Biden', 'Lebron', 'SOTU', 'Lakers', '#SOTU']"
09-02-2023,"['hoshi', 'Hybe', 'Lakers', 'Suns', 'The NBA']"
10-02-2023,"['#EasyToLoveROSÉDay', 'DAZZLING ROSÉ TURNS 26', '#AlwaysWithYou', 'WITH BUILD UNTIL THE END', '#ทฤษฎีสีชมพูTheDebutante']"
11-02-2023,"['jungkook', 'Chelsea', 'Canada', 'Arsenal', '#UFC284']"
12-02-2023,"['Rihanna', 'Eagles', 'Chiefs', '#SuperBowl', 'Mahomes']"
