Category,Word,Synonyms,Antonyms
Competence,smart,"['astute', 'intelligent', 'fresh', 'cagey', 'automatic', 'bright', 'streetwise', 'smart', 'fast', 'forward', 'stylish', 'intense', 'chic']",['stupid']
Christians,Catholic,"['Catholic', 'catholic', 'broad-minded']",[]
Jews,jewish,['jewish'],[]
Cold,dishonest,"['crooked', 'corruptible', 'insincere', 'beguiling', 'dishonorable', 'ambidextrous', 'deceptive', 'thieving', 'dishonest', 'rascally', 'false', 'picaresque', 'deceitful', 'corrupt', 'untrustworthy']",['honest']
Warm,sincere,"['ingenuous', 'genuine', 'true', 'heart-whole', 'cordial', 'serious', 'real', 'bona_fide', 'honest', 'sincere', 'dear', 'earnest']",['insincere']
Warm,well-intentioned,"['intended', 'well-intentioned']",[]
Cold,hostile,"['hateful', 'violent', 'inhospitable', 'bitter', 'ill', 'antagonistic', 'dirty', 'aggressive', 'irreconcilable', 'unpeaceful', 'unfriendly', 'hostile', 'offensive', 'head-on', 'opponent', 'at_loggerheads']","['friendly', 'amicable']"
Competence,competent,"['able', 'competent', 'effective', 'workmanlike', 'efficient', 'capable', 'adequate', 'qualified', 'skilled']",['incompetent']
Incompetence,inept,"['feckless', 'incompetent', 'maladroit', 'inept', 'awkward', 'infelicitous']",[]
Warm,dependable,"['reliable', 'trustworthy', 'dependable', 'undeviating', 'tested', 'sound', 'steady', 'certain']","['undependable', 'unreliable']"
Christians,Christian,"['christlike', 'christianly', 'Christian', 'christian']",['unchristian']
Incompetence,incompetent,"['unworkmanlike', 'unqualified', 'unskilled', 'bad', 'feckless', 'ineffective', 'incapable', 'bungling', 'inefficient', 'inadequate', 'incompetent']",['competent']
Competence,skillful,"['nice', 'skillful', 'adept', 'precise', 'skilled']",[]
Competence,confident,"['self-assured', 'confident', 'reassured', 'convinced', 'assured', 'capable', 'certain', 'cocksure']",['diffident']
