Name,Affiliation,Followers,Likes,Retweets,Replies,Views
RonFilipkowski,Democratic Party,1000000,2370,253,703,58445
RonFilipkowski,Democratic Party,1000000,1244,46,229,44492
RonFilipkowski,Democratic Party,1000000,1440,1016,476,159444
benshapiro,Republican Party,7000000,337,9,22,79878
benshapiro,Republican Party,7000000,2497,881,289,597582
benshapiro,Republican Party,7000000,20479,2685,4076,1700450
benshapiro,Republican Party,7000000,31297,2118,5374,1271005
benshapiro,Republican Party,7000000,491,40,58,70206
benshapiro,Republican Party,7000000,1069,104,236,157540
benshapiro,Republican Party,7000000,4636,1597,618,1214405
benshapiro,Republican Party,7000000,2780,273,356,290995
Jaybefaunt,Republican Party,54500,255,7,77,7496
Jaybefaunt,Republican Party,54500,412,13,87,8295
Jaybefaunt,Republican Party,54500,3835,359,842,46643
Jaybefaunt,Republican Party,54500,232,26,83,3250
Jaybefaunt,Republican Party,54500,1584,182,205,35008
Jaybefaunt,Republican Party,54500,274,19,35,4086
Jaybefaunt,Republican Party,54500,346,28,81,9623
Jaybefaunt,Republican Party,54500,796,18,52,13519
Jaybefaunt,Republican Party,54500,272,8,114,6729
Jaybefaunt,Republican Party,54500,1069,32,345,23949
Jaybefaunt,Republican Party,54500,544,9,29,58334
KyleClark,Democratic Party,237100,971,147,341,185211
KyleClark,Democratic Party,237100,254,63,89,39713
ThomasEWoods,Republican Party,189500,337,17,34,7298
ThomasEWoods,Republican Party,189500,439,96,33,25360
ThomasEWoods,Republican Party,189500,306,7,20,13864
ComicDaveSmith,Republican Party,570400,510,69,54,59400
ComicDaveSmith,Republican Party,570400,5891,399,287,980077
ComicDaveSmith,Republican Party,570400,3825,216,421,208082
ComicDaveSmith,Republican Party,570400,329,9,33,25583
ComicDaveSmith,Republican Party,570400,2045,126,130,170718
ComicDaveSmith,Republican Party,570400,339,26,19,12045
ComicDaveSmith,Republican Party,570400,412,28,30,58769
ComicDaveSmith,Republican Party,570400,1780,97,175,91019
ComicDaveSmith,Republican Party,570400,339,26,19,12046
TheRickWilson,Democratic Party,1600000,3334,90,315,77274
TheRickWilson,Democratic Party,1600000,1634,47,304,95900
TheRickWilson,Democratic Party,1600000,599,76,192,60907
TheRickWilson,Democratic Party,1600000,2311,29,218,48497
FreemansMind96,Republican Party,"4,682",335,18,33,113951
KyleKulinski,Democratic Party,462300,1383,61,410,55192
KyleKulinski,Democratic Party,462300,979,127,194,61986
KyleKulinski,Democratic Party,462300,1089,56,157,78484
KyleKulinski,Democratic Party,462300,1071,54,199,75130
KyleKulinski,Democratic Party,462300,2303,112,176,115756
KyleKulinski,Democratic Party,462300,772,40,104,60658
KyleKulinski,Democratic Party,462300,2108,49,395,76887
KyleKulinski,Democratic Party,462300,382,18,38,25931
KyleKulinski,Democratic Party,462300,1732,124,275,75193
seanhannity,Republican Party,6700000,381,428,335,93255
seanhannity,Republican Party,6700000,240,60,123,61262
seanhannity,Republican Party,6700000,247,52,46,47173
seanhannity,Republican Party,6700000,262,88,50,54337
seanhannity,Republican Party,6700000,220,45,27,60775
seanhannity,Republican Party,6700000,324,55,67,44678
seanhannity,Republican Party,6700000,492,45,79,34962
seanhannity,Republican Party,6700000,2740,283,309,79444
seanhannity,Republican Party,6700000,213,67,58,58863
seanhannity,Republican Party,6700000,894,76,123,52323
funder,Democratic Party,1100000,10979,5350,4279,403500
benshapiro,Republican Party,7000000,11133,7616,2851,6463090
benshapiro,Republican Party,7000000,14432,5763,1874,1170719
