Subject_ID,Affiliation,Followers,Tweet_ID,Affiliation_Contrast,Before_Dates,Before_Likes,Before_Retweets,Before_Replies,Before_Views,prop_Warm,prop_Incompetence,prop_Cold,prop_Competence,prop_Jewish,prop_Muslim,prop_Arabic,prop_Israeli,prop_IDF,prop_Hamas,count_Warm,count_Incompetence,count_Cold,count_Competence,count_Jewish,count_Muslim,count_Arabic,count_Israeli,count_IDF,count_Hamas,words_Warm,words_Incompetence,words_Cold,words_Competence,words_Jewish,words_Muslim,words_Arabic,words_Israeli,words_IDF,words_Hamas,total_words,ColumnID,Text,Segment,Tone,Linguistic,adverb,adj,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,Hate_Score
41,Republican Party,7000000,7158,-0.5,"January 30, 2023 02:26 PM",4669,535,219,835916,0.0,0.0,0.0,0.0,0.073170731707317,0.0,0.048780487804878,0.0,0.0,0.024390243902439,0,0,0,0,3,0,2,0,0,1,[],[],[],[],"['jews', 'jewish', 'jews']",[],"['palestinian', 'palestinians']",[],[],['hamas'],41,Before_Corpus,"A Palestinian Arab murders seven Jews going to synagogue in Jerusalem, the historic capital of the Jewish people.  Many Palestinians celebrate. Hamas takes credit.   Media response: This is a cycle of violence. After all, Jews WERE going to shul in Jerusalem.",1,3.01,53.66,0.0,4.88,7.32,2.44,4.88,2.44,2.44,0.0,0.0,0.0,0.0,0.0,12.2,7.32,0.0,0.0,2.44,0.0,2.44,0.27768221497535706
30,Republican Party,201800000,5785,-0.5,"September 06, 2023 08:00 PM",10364,867,499,883073,0.0,0.0,0.0,0.0,0.0238095238095238,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,[],[],[],[],['jewish'],[],[],[],[],[],42,Before_Corpus,"Because the answer is “Yes!” regarding seeking donations, hence JG’s refusal to answer the question.   JG instead went on the attack, implying that Sorkin, despite being Jewish, is somehow an anti-Semite just for asking a basic conflict-of-interest question!",1,1.0,57.89,10.53,2.63,5.26,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.68,23.68,2.63,2.63,5.26,0.0,13.16,0.007103712297976017
16,Democratic Party,628500,6703,0.5,"February 08, 2023 06:18 PM",5239,1465,257,279966,0.0,0.0,0.0,0.0232558139534883,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,[],[],[],['natural'],[],[],[],[],[],[],43,Before_Corpus,"The U.S. is doing what it always does, terrorize the world for corporate profits.   Here Seymour Hersh explains EXACTLY how the United States blew up The Nord Stream pipeline so US companies could sell more Natural Gas to Europe.    Were The Terrorists.  …",1,1.0,61.9,9.52,7.14,4.76,0.0,4.76,2.38,0.0,2.38,2.38,0.0,0.0,0.0,7.14,4.76,0.0,0.0,2.38,0.0,0.0,0.04240851849317551
87,Republican Party,2700000,5213,-0.5,"September 11, 2023 09:52 PM",1033,573,200,102007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],44,Before_Corpus,"OUTRAGE! On 9/11 of all days, Biden administration gives Irans terrorist regime ""waiver"" to get $6 billion in funds in exchange for release of 5 US prisoners held hostage by the terror regime. Biden will also release 5 Iranian prisoners from US custody.",1,1.0,45.45,2.27,0.0,13.64,0.0,13.64,4.55,0.0,4.55,2.27,2.27,0.0,0.0,9.09,4.55,0.0,0.0,2.27,0.0,0.0,0.003167186165228486
71,Democratic Party,146800,3745,0.5,"August 01, 2023 10:56 AM",1145,458,195,40634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],44,Before_Corpus,"RFK Jr. says he opposed arming and funding Ukraine in a proxy war with Russia.  US officials, including Joe Biden, want to make Ukraine the “Israel” of Europe.  RFK Jr. endorses the US funding and arming Israel.  This is red-flag levels of hypocrisy.",1,1.0,44.19,0.0,0.0,9.3,2.33,6.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.95,9.3,2.33,0.0,2.33,2.33,2.33,0.008218943141400814
20,Democratic Party,418700,4103,0.5,"November 08, 2022 11:51 PM",1479,341,303,170242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],44,Before_Corpus,"Imperialists often raise the example of WWII & accusations of genocide to justify war. (E.g. incubator babies in Kuwait). But does the left have a response to the question of how to identify a Hitler-level threat, & what to do about it? Must it?  …",1,1.0,57.14,7.14,0.0,9.52,0.0,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,9.52,0.0,0.0,4.76,2.38,4.76,0.017778990790247917
77,Democratic Party,477600,2749,0.5,"October 16, 2022 02:59 PM",3510,83,166,62356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],40,Before_Corpus,My daughter is at Hebrew school this morning while the former president is fomenting antisemitism. I am sad and mad and incredibly disappointed that so many suggest we should simply ignore him.   Ignoring problems doesn’t make them go away.,1,1.0,74.36,7.69,10.26,7.69,0.0,7.69,7.69,0.0,7.69,0.0,2.56,5.13,0.0,20.51,7.69,0.0,0.0,0.0,0.0,2.56,0.003267096821218729
41,Republican Party,7000000,6578,-0.5,"May 11, 2023 01:52 AM",5079,478,420,965700,0.0,0.0,0.0,0.0,0.0256410256410256,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,[],[],[],[],['jewish'],[],[],[],[],[],39,Before_Corpus,"Youre telling me -- not Bernie Sanders, who is making kissy-face with Rashida Tlaib over an event declaring Israels creation a disaster WHILE ROCKETS FALL ON TEL AVIV -- that its antisemitic to call out Bernies anti-Jewish garbage? GFY.",1,62.77,48.65,0.0,0.0,2.7,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.92,10.81,0.0,0.0,0.0,0.0,8.11,0.01407667063176632
52,Democratic Party,437700,2325,0.5,"March 10, 2023 10:46 PM",1145,572,46,62002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],34,Before_Corpus,"The UN says that Israels bombing of Syrias Aleppo airport forced it ""to suspend or divert flights used to transport vital medical supplies such as tetanus vaccines, diabetes medication and blood-transfusion testing equipment.""",1,1.71,42.42,0.0,3.03,3.03,0.0,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03,3.03,0.0,0.0,0.0,0.0,3.03,0.022836362943053246
28,Republican Party,157100,7681,-0.5,"December 23, 2022 02:43 AM",2439,95,30,165869,0.0277777777777777,0.0,0.0,0.0,0.0277777777777777,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,['live'],[],[],[],['jewish'],[],[],[],[],[],36,Before_Corpus,"What a great State we live in! Honored to Light the Menorah at The Governors Mansion in Montgomery Alabama tonight, celebrating the miracle of Hanukkah and the survival of the Jewish people! Thank you Governor Ivey!",1,99.0,52.78,0.0,2.78,11.11,11.11,0.0,2.78,2.78,0.0,0.0,0.0,0.0,0.0,16.67,8.33,2.78,2.78,0.0,2.78,2.78,0.0009288107976317406
