Subject_ID,Affiliation,Followers,Tweet_ID,Affiliation_Contrast,After_Dates,After_Corpus,After_Likes,After_Retweets,After_Replies,After_Views,prop_Israeli,prop_Warm,prop_Competence,prop_Incompetence,prop_Cold,prop_Jewish,prop_Muslim,prop_Arabic,prop_IDF,prop_Hamas,count_Israeli,count_Warm,count_Competence,count_Incompetence,count_Cold,count_Jewish,count_Muslim,count_Arabic,count_IDF,count_Hamas,words_Israeli,words_Warm,words_Competence,words_Incompetence,words_Cold,words_Jewish,words_Muslim,words_Arabic,words_IDF,words_Hamas,total_words
41,Republican Party,7000000.0,351,-0.5,"April 25, 2024 07:09 PM",These pro-Hamas protests are being fostered by the faculty and patted on the head by the administration. Thats because these colleges have been completely eaten by the evil intersectional ideology that crosses streams with Jew-hatred.,24177,3540,4531,3813012,0.0,0.0,0.0,0.0,0.02702702702702703,0.02702702702702703,0.0,0.0,0.0,0.02702702702702703,0,0,0,0,1,1,0,0,0,1,[],[],[],[],['evil'],['jew'],[],[],[],['hamas'],37
75,Republican Party,2200000.0,392,-0.5,"November 04, 2023 08:30 PM",These people were prosecuted and had their lives destroyed more than any BLM/ANTIFA terrorist ever will.   …,24399,6198,4019,443559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],17
23,Republican Party,2600000.0,858,-0.5,"October 30, 2023 11:08 PM",There is no “pro-Palestine” side to this. Palestine is controlled by Hamas. If you’re screeching for a ceasefire you’re coddling terrorists.   …,4290,720,667,266351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0,0,0,0,0,0,0,0,0,1,[],[],[],[],[],[],[],[],[],['hamas'],24
28,Republican Party,157100.0,435,-0.5,"October 29, 2023 09:41 PM","There can be no “managing” of Hamas. It is a genocidal, jihadist org whose charter is the destruction of Israel and the murder of Jews worldwide. Israel must destroy Hamas, help the world rebuild Gaza and find peaceful Arab leaders like Abraham Accords",1525,215,128,151822,0.0,0.023255813953488372,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.046511627906976744,0,1,0,0,0,1,0,0,0,2,[],['peaceful'],[],[],[],['jews'],[],[],[],"['hamas', 'hamas']",43
41,Republican Party,7000000.0,395,-0.5,"September 01, 2024 12:20 PM","The word ""evil"" is not descriptive enough for Hamas. They murdered in cold blood six people they had taken hostage almost a year ago, including an American, just days ago -- all in an attempt to sow seeds of political chaos. A few points: 1. Hamas must be extirpated. It is the only thing to do, on both a moral and practical level. 2. No deal that leaves Hamas in place or allows for the re-Hamasization of Gaza can be morally justifiable -- aside from which, Hamas has rejected every deal. 3. The Biden White House spent months delaying Israel's entry into Rafah, including by withholding armaments. Would more hostages have been liberated in March, if the Biden administration hadn't stood in the way playing effective defense for Hamas? A tragic day for Israelis and Americans. Evil must always be fought. There is no other way.",31297,5374,2118,1271005,0.006802721088435374,0.0,0.006802721088435374,0.006802721088435374,0.02040816326530612,0.0,0.0,0.0,0.0,0.034013605442176874,1,0,1,1,3,0,0,0,0,5,['israelis'],[],['effective'],['cold'],"['evil', 'cold', 'evil']",[],[],[],[],"['hamas', 'hamas', 'hamas', 'hamas', 'hamas']",147
39,Democratic Party,1000000.0,572,0.5,"October 12, 2023 05:52 PM",The pro-Hamas account ‘Iran Observer’ is promoting Trump’s speech last night where he called Hezbollah “a very smart organization.” Story …,1236,226,46,44511,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0,0,1,0,0,0,0,0,0,1,[],[],['smart'],[],[],[],[],[],[],['hamas'],22
41,Republican Party,7000000.0,735,-0.5,"May 09, 2024 11:26 AM","The predictable results of Biden's disgusting weapons cut-off threat: 1. Hamas refuses any deal. The hostages, including Americans, remain. Hamas knows they've got Biden on their side. 2. Israel MUST go into Rafah because of (1). 3. Biden is cutting off targeted munitions, which means more civilians will die when (2). 4. Biden's threat will embolden Hezbollah to open up in the north. Which makes broader war MORE likely, not less. 5. All of this will forestall Saudi normalization while endangering Israel on multiple borders. Biden isn't just a moral blot, he's a f***ing moron.",1570,190,370,129644,0.0,0.0,0.00980392156862745,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0,0,1,0,0,0,0,0,0,2,[],[],['predictable'],[],[],[],[],[],[],"['hamas', 'hamas']",102
83,Republican Party,1900000.0,830,-0.5,"October 12, 2023 01:37 AM",The attack on Israel is not over a territory dispute. Its about annihilating the Jews.,4601,1438,264,167918,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,[],[],[],[],[],['jews'],[],[],[],[],15
17,Democratic Party,1400000.0,290,0.5,"August 21, 2024 11:55 PM","The United Center breaks out in chants of Bring Them Home as the parents of Hersh Goldberg-Polin, an American hostage held by Hamas, speak at the DNC.",1895,312,26,80210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0,0,0,0,0,0,0,0,0,1,[],[],[],[],[],[],[],[],[],['hamas'],28
17,Democratic Party,1400000.0,934,0.5,"July 27, 2024 02:00 PM",The U.K. government has reversed its opposition to the International Criminal Court seeking an arrest warrant against Israeli PM Benjamin Netanyahu.,4567,1088,76,181490,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,"['israeli', 'benjamin', 'netanyahu']",[],[],[],[],[],[],[],[],[],22
