Name,Affiliation,Followers,Likes,Retweets,Replies,Views
davidsirota,Democratic Party,336700,689,14,322,29470
ProudSocialist,Democratic Party,361300,939,106,230,52454
TomFitton,Republican Party,2700000,841,51,234,70778
TomFitton,Republican Party,2700000,2800,120,703,70079
TomFitton,Republican Party,2700000,1695,390,1328,70589
TomFitton,Republican Party,2700000,1033,200,573,102007
seanhannity,Republican Party,6700000,718,260,174,66741
seanhannity,Republican Party,6700000,423,178,82,49034
seanhannity,Republican Party,6700000,317,251,59,61048
seanhannity,Republican Party,6700000,343,234,88,95227
charliekirk11,Republican Party,3600000,28988,1603,11093,2414337
charliekirk11,Republican Party,3600000,36872,6940,11168,2580664
charliekirk11,Republican Party,3600000,2603,277,975,345307
charliekirk11,Republican Party,3600000,6550,1034,2376,557556
TuckerCarlson,Republican Party,14100000,66811,8388,19980,3712596
natsechobbyist,Democratic Party,477600,3510,166,83,62356
benshapiro,Republican Party,7000000,5228,827,892,1489217
benshapiro,Republican Party,7000000,2513,196,382,204799
benshapiro,Republican Party,7000000,5228,827,892,1489217
briebriejoy,Democratic Party,418700,1814,252,549,241760
briebriejoy,Democratic Party,418700,354,71,115,40399
fred_guttenberg,Democratic Party,524700,794,21,153,29661
JordanChariton,Democratic Party,128400,535,19,198,32189
JordanChariton,Democratic Party,128400,392,6,140,19230
JordanChariton,Democratic Party,128400,520,11,209,29829
kylegriffin1,Democratic Party,1400000,3124,400,1323,850263
kylegriffin1,Democratic Party,1400000,2579,80,554,342188
elonmusk,Republican Party,201800000,199964,18172,48918,37004750
elonmusk,Republican Party,201800000,108779,6124,12453,36207118
elonmusk,Republican Party,201800000,205252,9996,27567,12204705
itsJeffTiedrich,Democratic Party,1100000,40744,2622,6364,1112594
itsJeffTiedrich,Democratic Party,1100000,2460,27,241,26039
bluestein,Democratic Party,143400,721,18,127,44844
bluestein,Democratic Party,143400,550,15,95,28126
bluestein,Democratic Party,143400,499,25,134,44113
SarcasmStardust,Republican Party,127900,1472,97,296,42959
SarcasmStardust,Republican Party,127900,224,14,64,6722
SarcasmStardust,Republican Party,127900,222,2,62,5211
SarcasmStardust,Republican Party,127900,400,23,122,8498
SocialistMMA,Other,143800,404,17,64,8317
SocialistMMA,Other,143800,854,60,285,57353
SocialistMMA,Other,143800,459,22,125,10196
SocialistMMA,Other,143800,795,34,165,27365
JoJoFromJerz,Democratic Party,1000000,3521,69,405,42919
JoJoFromJerz,Democratic Party,1000000,1717,95,199,64053
JoJoFromJerz,Democratic Party,1000000,1480,61,131,31402
JoJoFromJerz,Democratic Party,1000000,906,198,129,34561
DineshDSouza,Republican Party,4300000,227,9,49,69182
DineshDSouza,Republican Party,4300000,2026,142,439,92143
DineshDSouza,Republican Party,4300000,6464,355,1470,140655
DineshDSouza,Republican Party,4300000,972,104,443,77405
TheLeoTerrell,Republican Party,2200000,302,61,53,24550
donaldjtrumpjr,Republican Party,12400000,37656,3968,257,1214971
donaldjtrumpjr,Republican Party,12400000,1688,384,533,183114
spiritofho,Other,146800,238,28,59,11035
spiritofho,Other,146800,1145,195,458,40634
spiritofho,Other,146800,809,92,251,69021
spiritofho,Other,146800,244,43,58,12418
spiritofho,Other,146800,1293,22,414,29294
MollyJongFast,Democratic Party,1000000,3977,435,454,527707
MollyJongFast,Democratic Party,1000000,931,64,138,153572
MollyJongFast,Democratic Party,1000000,6219,218,591,283019
FiorellaIsabelM,Other,206400,591,35,365,44141
FiorellaIsabelM,Other,206400,545,50,190,24851
FiorellaIsabelM,Other,206400,434,15,118,20289
FiorellaIsabelM,Other,206400,460,7,167,9119
aaronjmate,Democratic Party,437700,4796,196,1835,883565
aaronjmate,Democratic Party,437700,1145,46,572,62002
aaronjmate,Democratic Party,437700,1442,23,271,27317
aaronjmate,Democratic Party,437700,2525,78,1023,192402
aaronjmate,Democratic Party,437700,1442,23,271,27317
spiritofho,Other,146800,366,13,71,17686
